year,original,fitted,plot,vi
2006,461.361,622.501,APH,ndvi
2007,466.576,628.365,APH,ndvi
2008,552.995,634.229,APH,ndvi
2009,578.13,640.093,APH,ndvi
2010,603.373,645.956,APH,ndvi
2011,649.7,651.82,APH,ndvi
2012,625.04,657.684,APH,ndvi
2013,740.943,663.548,APH,ndvi
2014,730.09,669.412,APH,ndvi
2015,716.904,675.276,APH,ndvi
2016,696.335,681.14,APH,ndvi
2017,743.958,687.004,APH,ndvi
2018,781.41,692.868,APH,ndvi
2019,782.769,698.732,APH,ndvi
2020,757.497,704.596,APH,ndvi
2021,753.053,710.46,APH,ndvi
1984,1133.639,752.4830000000001,ASH1,evi
1985,753.268,766.7180000000001,ASH1,evi
1986,806.509,780.9519999999999,ASH1,evi
1987,606.2930000000001,795.187,ASH1,evi
1988,865.137,809.4219999999999,ASH1,evi
1989,869.37,823.6569999999999,ASH1,evi
1990,1011.069,837.8919999999999,ASH1,evi
1991,887.8389999999999,852.127,ASH1,evi
1992,815.182,866.3619999999999,ASH1,evi
1993,620.2840000000001,880.597,ASH1,evi
1994,961.8009999999999,894.8319999999999,ASH1,evi
1995,760.0369999999999,909.0669999999999,ASH1,evi
1996,754.2860000000001,923.3009999999999,ASH1,evi
1997,1264.816,937.536,ASH1,evi
1998,912.991,951.7710000000001,ASH1,evi
1999,926.838,966.006,ASH1,evi
2000,954.3619999999999,980.241,ASH1,evi
2001,924.239,994.476,ASH1,evi
2002,1125.576,1008.711,ASH1,evi
2003,711.6940000000001,1022.9459999999999,ASH1,evi
2004,1045.1609999999998,1037.1809999999998,ASH1,evi
2005,844.591,1051.4150000000002,ASH1,evi
2006,895.191,1065.6499999999999,ASH1,evi
2007,1110.263,1079.885,ASH1,evi
2008,1279.3939999999998,1094.12,ASH1,evi
2009,1186.537,1108.355,ASH1,evi
2010,1415.3,1122.59,ASH1,evi
2011,983.7860000000001,1136.825,ASH1,evi
2012,1052.7350000000001,1151.06,ASH1,evi
2013,1266.239,1165.295,ASH1,evi
2014,1033.9470000000001,1179.53,ASH1,evi
2015,1078.4560000000001,1193.764,ASH1,evi
2016,1266.719,1207.999,ASH1,evi
2017,1155.126,1222.234,ASH1,evi
2018,1334.4950000000001,1236.469,ASH1,evi
2019,1387.81,1250.704,ASH1,evi
2020,1382.994,1264.939,ASH1,evi
2021,1448.703,1279.1739999999998,ASH1,evi
1984,496.235,496.235,ASH1,ndvi
1985,361.191,361.191,ASH1,ndvi
1986,365.379,366.22,ASH1,ndvi
1987,324.435,371.249,ASH1,ndvi
1988,418.517,376.278,ASH1,ndvi
1989,431.438,381.308,ASH1,ndvi
1990,412.9,386.337,ASH1,ndvi
1991,394.788,391.366,ASH1,ndvi
1992,346.26,396.395,ASH1,ndvi
1993,344.206,401.424,ASH1,ndvi
1994,431.413,406.454,ASH1,ndvi
1995,367.152,411.483,ASH1,ndvi
1996,397.063,416.512,ASH1,ndvi
1997,479.715,421.541,ASH1,ndvi
1998,436.831,426.57,ASH1,ndvi
1999,410.263,431.6,ASH1,ndvi
2000,435.703,436.629,ASH1,ndvi
2001,435.593,441.658,ASH1,ndvi
2002,477.411,446.687,ASH1,ndvi
2003,370.215,451.716,ASH1,ndvi
2004,467.452,456.746,ASH1,ndvi
2005,407.862,461.775,ASH1,ndvi
2006,418.09,466.804,ASH1,ndvi
2007,502.013,471.833,ASH1,ndvi
2008,474.33,476.862,ASH1,ndvi
2009,472.41,481.891,ASH1,ndvi
2010,546.831,486.921,ASH1,ndvi
2011,487.908,491.95,ASH1,ndvi
2012,467.992,496.979,ASH1,ndvi
2013,491.919,502.008,ASH1,ndvi
2014,473.713,507.037,ASH1,ndvi
2015,519.214,512.067,ASH1,ndvi
2016,520.474,517.096,ASH1,ndvi
2017,483.422,522.125,ASH1,ndvi
2018,511.473,527.154,ASH1,ndvi
2019,540.745,532.183,ASH1,ndvi
2020,560.593,537.213,ASH1,ndvi
2021,593.533,542.242,ASH1,ndvi
1984,1539.013,1640.546,ASH2,evi
1985,1861.468,1713.047,ASH2,evi
1986,1846.015,1785.548,ASH2,evi
1987,1678.454,1858.049,ASH2,evi
1988,1610.265,1930.549,ASH2,evi
1989,2155.422,2003.05,ASH2,evi
1990,2397.416,2075.5510000000004,ASH2,evi
1991,2636.8300000000004,2148.052,ASH2,evi
1992,1813.556,2220.5530000000003,ASH2,evi
1993,2209.693,2220.3320000000003,ASH2,evi
1994,1865.462,2220.1110000000003,ASH2,evi
1995,2715.1879999999996,2219.8900000000003,ASH2,evi
1996,2164.27,2219.669,ASH2,evi
1997,2232.641,2219.448,ASH2,evi
1998,2563.2259999999997,2219.227,ASH2,evi
1999,1906.434,2219.006,ASH2,evi
2000,2442.3530000000005,2218.785,ASH2,evi
2001,1987.952,2218.564,ASH2,evi
2002,2220.436,2218.3430000000003,ASH2,evi
2003,2212.675,2218.122,ASH2,evi
2004,2395.4550000000004,2217.9010000000003,ASH2,evi
2005,1643.2,2217.68,ASH2,evi
2006,1893.3629999999998,2217.4590000000003,ASH2,evi
2007,2351.0190000000002,2217.238,ASH2,evi
2008,3198.944,2217.018,ASH2,evi
2009,2008.457,2216.797,ASH2,evi
2010,2144.444,2216.576,ASH2,evi
2011,2158.9190000000003,2216.3550000000005,ASH2,evi
2012,1693.811,2216.134,ASH2,evi
2013,1902.521,2215.9130000000005,ASH2,evi
2014,2396.064,2215.692,ASH2,evi
2015,2120.846,2215.4710000000005,ASH2,evi
2016,2153.3920000000003,2215.25,ASH2,evi
2017,1878.876,2215.029,ASH2,evi
2018,2283.712,2214.808,ASH2,evi
2019,2269.868,2214.587,ASH2,evi
2020,2591.754,2214.366,ASH2,evi
2021,2531.447,2214.145,ASH2,evi
1984,567.028,647.965,ASH2,ndvi
1985,641.043,651.129,ASH2,ndvi
1986,662.225,654.293,ASH2,ndvi
1987,668.729,657.457,ASH2,ndvi
1988,689.087,660.621,ASH2,ndvi
1989,698.413,663.784,ASH2,ndvi
1990,697.752,666.948,ASH2,ndvi
1991,688.244,670.112,ASH2,ndvi
1992,621.339,673.276,ASH2,ndvi
1993,665.462,676.439,ASH2,ndvi
1994,667.385,679.603,ASH2,ndvi
1995,708.586,682.767,ASH2,ndvi
1996,734.491,685.931,ASH2,ndvi
1997,701.433,689.095,ASH2,ndvi
1998,776.934,692.258,ASH2,ndvi
1999,699.756,695.422,ASH2,ndvi
2000,729.958,698.586,ASH2,ndvi
2001,717.391,701.75,ASH2,ndvi
2002,715.237,704.914,ASH2,ndvi
2003,714.286,708.077,ASH2,ndvi
2004,738.612,711.241,ASH2,ndvi
2005,659.136,714.405,ASH2,ndvi
2006,668.966,717.569,ASH2,ndvi
2007,698.099,720.732,ASH2,ndvi
2008,724.193,723.896,ASH2,ndvi
2009,670.43,727.06,ASH2,ndvi
2010,693.247,730.224,ASH2,ndvi
2011,734.461,733.388,ASH2,ndvi
2012,718.421,736.551,ASH2,ndvi
2013,737.694,739.715,ASH2,ndvi
2014,769.805,742.879,ASH2,ndvi
2015,762.938,746.043,ASH2,ndvi
2016,751.544,749.207,ASH2,ndvi
2017,722.807,752.37,ASH2,ndvi
2018,759.541,755.534,ASH2,ndvi
2019,759.383,758.698,ASH2,ndvi
2020,788.901,761.862,ASH2,ndvi
2021,798.55,765.025,ASH2,ndvi
1984,634.444,503.677,BAH,evi
1985,615.498,515.568,BAH,evi
1986,736.3149999999999,527.46,BAH,evi
1987,542.21,539.352,BAH,evi
1988,452.299,551.243,BAH,evi
1989,561.601,563.135,BAH,evi
1990,479.39799999999997,575.026,BAH,evi
1991,644.925,586.918,BAH,evi
1992,719.3459999999999,598.81,BAH,evi
1993,490.743,610.701,BAH,evi
1994,411.243,622.593,BAH,evi
1995,574.991,634.484,BAH,evi
1996,819.519,646.376,BAH,evi
1997,951.3389999999999,658.268,BAH,evi
1998,547.8519999999999,670.159,BAH,evi
1999,467.709,682.051,BAH,evi
2000,457.79099999999994,693.943,BAH,evi
2001,860.0880000000001,705.834,BAH,evi
2002,843.968,717.726,BAH,evi
2003,538.374,729.617,BAH,evi
2004,599.8609999999999,741.509,BAH,evi
2005,498.715,753.401,BAH,evi
2006,858.172,765.292,BAH,evi
2007,862.55,777.184,BAH,evi
2008,728.1419999999999,789.075,BAH,evi
2009,869.8519999999999,800.967,BAH,evi
2010,898.3499999999999,812.859,BAH,evi
2011,593.612,824.75,BAH,evi
2012,547.192,836.642,BAH,evi
2013,972.9669999999999,848.534,BAH,evi
2014,960.734,860.425,BAH,evi
2015,747.236,872.317,BAH,evi
2016,853.127,884.208,BAH,evi
2017,861.2780000000001,896.1,BAH,evi
2018,921.4519999999999,907.992,BAH,evi
2019,975.526,919.883,BAH,evi
2020,1157.8429999999998,931.775,BAH,evi
2021,1112.312,943.666,BAH,evi
1984,295.852,260.821,BAH,ndvi
1985,292.04,265.307,BAH,ndvi
1986,343.613,269.793,BAH,ndvi
1987,264.804,274.279,BAH,ndvi
1988,240.023,278.764,BAH,ndvi
1989,260.282,283.25,BAH,ndvi
1990,254.503,287.736,BAH,ndvi
1991,309.273,292.222,BAH,ndvi
1992,263.19,296.708,BAH,ndvi
1993,267.789,301.193,BAH,ndvi
1994,248.674,305.679,BAH,ndvi
1995,299.819,310.165,BAH,ndvi
1996,402.317,314.651,BAH,ndvi
1997,413.203,319.137,BAH,ndvi
1998,287.678,323.622,BAH,ndvi
1999,256.281,328.108,BAH,ndvi
2000,271.509,332.594,BAH,ndvi
2001,392.041,337.08,BAH,ndvi
2002,413.775,341.566,BAH,ndvi
2003,301.477,346.051,BAH,ndvi
2004,313.595,350.537,BAH,ndvi
2005,280.512,355.023,BAH,ndvi
2006,410.984,359.509,BAH,ndvi
2007,424.731,363.995,BAH,ndvi
2008,373.661,368.48,BAH,ndvi
2009,411.531,372.966,BAH,ndvi
2010,391.233,377.452,BAH,ndvi
2011,313.993,381.938,BAH,ndvi
2012,291.942,386.424,BAH,ndvi
2013,454.83,390.909,BAH,ndvi
2014,434.698,395.395,BAH,ndvi
2015,367.867,399.881,BAH,ndvi
2016,364.366,404.367,BAH,ndvi
2017,363.362,408.853,BAH,ndvi
2018,422.686,413.339,BAH,ndvi
2019,460.258,417.824,BAH,ndvi
2020,441.787,422.31,BAH,ndvi
2021,464.542,426.796,BAH,ndvi
1984,932.059,1432.118,BPD,evi
1985,1821.2939999999999,1432.118,BPD,evi
1986,1084.4270000000001,1432.118,BPD,evi
1987,1263.8719999999998,1432.118,BPD,evi
1988,1184.685,1432.118,BPD,evi
1989,1502.457,1432.118,BPD,evi
1990,1327.6229999999998,1432.118,BPD,evi
1991,1866.022,1432.118,BPD,evi
1992,1473.558,1432.118,BPD,evi
1993,1373.847,1432.118,BPD,evi
1994,1852.818,1432.118,BPD,evi
1995,1408.6979999999999,1432.118,BPD,evi
1996,1584.76,1432.118,BPD,evi
1997,1595.039,1432.118,BPD,evi
1998,4841.2699999999995,1432.118,BPD,evi
1999,1561.93,1432.118,BPD,evi
2000,1253.555,1432.118,BPD,evi
2001,1473.237,1432.118,BPD,evi
2002,1254.625,1432.118,BPD,evi
2003,1311.539,1432.118,BPD,evi
2004,2196.876,1432.118,BPD,evi
2005,1566.085,1432.118,BPD,evi
2006,1251.11,1432.118,BPD,evi
2007,1081.331,1432.118,BPD,evi
2008,1734.287,1432.118,BPD,evi
2009,1140.521,1432.118,BPD,evi
2010,1834.328,1432.118,BPD,evi
2011,1830.5639999999999,1432.118,BPD,evi
2012,1286.0839999999998,1432.118,BPD,evi
2013,1408.556,1432.118,BPD,evi
2014,1428.242,1432.118,BPD,evi
2015,1597.109,1432.118,BPD,evi
2016,1171.792,1432.118,BPD,evi
2017,1094.992,1432.118,BPD,evi
2018,1570.027,1432.118,BPD,evi
2019,1830.01,1432.118,BPD,evi
2020,1228.676,1432.118,BPD,evi
2021,1645.305,1432.118,BPD,evi
1984,372.965,408.35,BPD,ndvi
1985,444.816,422.861,BPD,ndvi
1986,450.154,437.373,BPD,ndvi
1987,451.741,451.884,BPD,ndvi
1988,441.275,466.396,BPD,ndvi
1989,509.649,480.907,BPD,ndvi
1990,526.763,495.418,BPD,ndvi
1991,511.936,509.93,BPD,ndvi
1992,474.458,524.441,BPD,ndvi
1993,549.759,538.953,BPD,ndvi
1994,581.967,553.464,BPD,ndvi
1995,536.748,567.976,BPD,ndvi
1996,588.208,582.487,BPD,ndvi
1997,582.105,563.138,BPD,ndvi
1998,503.024,543.788,BPD,ndvi
1999,504.634,524.439,BPD,ndvi
2000,488.909,505.089,BPD,ndvi
2001,516.464,485.74,BPD,ndvi
2002,471.534,466.39,BPD,ndvi
2003,447.357,447.041,BPD,ndvi
2004,564.712,455.796,BPD,ndvi
2005,541.023,464.55,BPD,ndvi
2006,483.483,473.305,BPD,ndvi
2007,472.918,482.06,BPD,ndvi
2008,547.507,490.815,BPD,ndvi
2009,471.111,499.57,BPD,ndvi
2010,565.399,502.973,BPD,ndvi
2011,602.151,506.377,BPD,ndvi
2012,541.699,509.78,BPD,ndvi
2013,548.979,513.183,BPD,ndvi
2014,534.022,516.586,BPD,ndvi
2015,535.437,519.989,BPD,ndvi
2016,446.465,523.393,BPD,ndvi
2017,448.306,526.796,BPD,ndvi
2018,533.873,530.199,BPD,ndvi
2019,543.948,533.602,BPD,ndvi
2020,533.771,537.005,BPD,ndvi
2021,581.487,540.409,BPD,ndvi
1984,351.749,464.44599999999997,BSD,evi
1985,356.66200000000003,487.08099999999996,BSD,evi
1986,552.0609999999999,509.717,BSD,evi
1987,375.758,532.3519999999999,BSD,evi
1988,520.38,554.988,BSD,evi
1989,616.672,577.624,BSD,evi
1990,792.828,600.259,BSD,evi
1991,677.06,622.895,BSD,evi
1992,866.9319999999999,645.53,BSD,evi
1993,944.72,668.1659999999999,BSD,evi
1994,583.686,690.8009999999999,BSD,evi
1995,855.449,713.4369999999999,BSD,evi
1996,1091.6789999999999,736.072,BSD,evi
1997,879.765,758.7080000000001,BSD,evi
1998,949.655,781.343,BSD,evi
1999,697.0459999999999,803.979,BSD,evi
2000,652.627,826.614,BSD,evi
2001,801.739,849.25,BSD,evi
2002,1010.023,871.885,BSD,evi
2003,790.386,894.521,BSD,evi
2004,1099.018,917.156,BSD,evi
2005,762.6850000000001,939.792,BSD,evi
2006,956.582,962.4269999999999,BSD,evi
2007,737.212,985.063,BSD,evi
2008,994.493,1007.6980000000001,BSD,evi
2009,981.343,1030.3339999999998,BSD,evi
2010,1073.4250000000002,1052.969,BSD,evi
2011,1351.799,1075.605,BSD,evi
2012,877.636,1098.24,BSD,evi
2013,1172.875,1120.876,BSD,evi
2014,1106.1779999999999,1143.511,BSD,evi
2015,1029.626,1166.147,BSD,evi
2016,1070.128,1188.782,BSD,evi
2017,970.511,1211.4180000000001,BSD,evi
2018,1316.636,1234.0539999999999,BSD,evi
2019,1911.29,1256.6889999999999,BSD,evi
2020,1370.1139999999998,1279.325,BSD,evi
2021,1596.639,1301.96,BSD,evi
1984,164.753,168.778,BSD,ndvi
1985,176.431,187.711,BSD,ndvi
1986,225.566,206.645,BSD,ndvi
1987,184.433,225.579,BSD,ndvi
1988,244.786,244.512,BSD,ndvi
1989,280.677,263.446,BSD,ndvi
1990,340.387,282.38,BSD,ndvi
1991,301.577,301.314,BSD,ndvi
1992,319.386,320.247,BSD,ndvi
1993,323.236,339.181,BSD,ndvi
1994,304.414,358.115,BSD,ndvi
1995,386.315,377.048,BSD,ndvi
1996,442.147,395.982,BSD,ndvi
1997,399.29,414.916,BSD,ndvi
1998,426.304,433.85,BSD,ndvi
1999,317.204,317.204,BSD,ndvi
2000,338.479,339.981,BSD,ndvi
2001,343.517,362.758,BSD,ndvi
2002,406.517,385.535,BSD,ndvi
2003,370.247,408.312,BSD,ndvi
2004,456.948,431.089,BSD,ndvi
2005,340.675,340.675,BSD,ndvi
2006,391.921,352.744,BSD,ndvi
2007,321.898,364.814,BSD,ndvi
2008,386.897,376.883,BSD,ndvi
2009,432.21,388.952,BSD,ndvi
2010,429.53,401.022,BSD,ndvi
2011,502.667,413.091,BSD,ndvi
2012,427.332,425.16,BSD,ndvi
2013,500.407,437.23,BSD,ndvi
2014,463.207,449.299,BSD,ndvi
2015,471.102,461.368,BSD,ndvi
2016,412.281,473.437,BSD,ndvi
2017,397.25,485.507,BSD,ndvi
2018,483.544,497.576,BSD,ndvi
2019,534.024,509.645,BSD,ndvi
2020,534.127,521.715,BSD,ndvi
2021,540.925,533.784,BSD,ndvi
1984,1540.157,1203.595,NAD,evi
1985,947.524,1239.1879999999999,NAD,evi
1986,1320.941,1274.781,NAD,evi
1987,1132.857,1310.3739999999998,NAD,evi
1988,1339.055,1345.967,NAD,evi
1989,1444.292,1381.559,NAD,evi
1990,1360.9360000000001,1417.1519999999998,NAD,evi
1991,1432.146,1452.7450000000001,NAD,evi
1992,1476.386,1488.338,NAD,evi
1993,1100.525,1523.931,NAD,evi
1994,1172.233,1559.524,NAD,evi
1995,1358.229,1595.117,NAD,evi
1996,2031.858,1630.709,NAD,evi
1997,1582.9270000000001,1666.302,NAD,evi
1998,2446.629,1701.895,NAD,evi
1999,1414.819,1737.488,NAD,evi
2000,1623.7450000000001,1773.081,NAD,evi
2001,1897.62,1808.6739999999998,NAD,evi
2002,1661.755,1844.267,NAD,evi
2003,1732.5639999999999,1879.859,NAD,evi
2004,2308.429,1915.452,NAD,evi
2005,1481.9470000000001,1951.045,NAD,evi
2006,2096.3070000000002,1986.638,NAD,evi
2007,2298.328,2022.231,NAD,evi
2008,1911.422,2057.824,NAD,evi
2009,2516.376,2093.416,NAD,evi
2010,1870.948,2129.009,NAD,evi
2011,2503.632,2164.602,NAD,evi
2012,2111.4210000000003,2200.195,NAD,evi
2013,2405.468,2235.7879999999996,NAD,evi
2014,2493.06,2271.3810000000003,NAD,evi
2015,1997.62,2306.974,NAD,evi
2016,2837.1679999999997,2342.566,NAD,evi
2017,1793.764,2378.159,NAD,evi
2018,2450.98,2413.752,NAD,evi
2019,2318.129,2449.3450000000003,NAD,evi
2020,2116.5879999999997,2484.938,NAD,evi
2021,2423.346,2520.5310000000004,NAD,evi
1984,490.687,439.621,NAD,ndvi
1985,370.106,445.766,NAD,ndvi
1986,542.537,451.911,NAD,ndvi
1987,443.299,458.056,NAD,ndvi
1988,472.027,464.202,NAD,ndvi
1989,449.871,470.347,NAD,ndvi
1990,517.655,476.492,NAD,ndvi
1991,473.282,482.638,NAD,ndvi
1992,496.178,488.783,NAD,ndvi
1993,429.113,494.928,NAD,ndvi
1994,460.549,501.073,NAD,ndvi
1995,469.178,507.219,NAD,ndvi
1996,530.499,513.364,NAD,ndvi
1997,528.455,519.509,NAD,ndvi
1998,531.422,525.655,NAD,ndvi
1999,552.182,531.8,NAD,ndvi
2000,529.165,537.945,NAD,ndvi
2001,604.899,544.09,NAD,ndvi
2002,607.794,550.236,NAD,ndvi
2003,561.034,556.381,NAD,ndvi
2004,599.801,562.526,NAD,ndvi
2005,530.037,568.672,NAD,ndvi
2006,559.42,574.817,NAD,ndvi
2007,567.548,580.962,NAD,ndvi
2008,471.716,587.107,NAD,ndvi
2009,627.78,593.253,NAD,ndvi
2010,655.662,599.398,NAD,ndvi
2011,557.713,605.543,NAD,ndvi
2012,612.773,611.689,NAD,ndvi
2013,674.669,617.834,NAD,ndvi
2014,634.437,623.979,NAD,ndvi
2015,568.457,630.124,NAD,ndvi
2016,644.034,636.27,NAD,ndvi
2017,562.439,642.415,NAD,ndvi
2018,629.245,648.56,NAD,ndvi
2019,715.049,654.706,NAD,ndvi
2020,702.293,660.851,NAD,ndvi
2021,745.244,666.996,NAD,ndvi
1984,1548.841,1877.375,NAH1,evi
1985,2925.7879999999996,1890.8729999999998,NAH1,evi
1986,2049.362,1904.3709999999999,NAH1,evi
1987,2104.022,1917.869,NAH1,evi
1988,1569.731,1931.367,NAH1,evi
1989,1901.6929999999998,1944.865,NAH1,evi
1990,1944.759,1958.3629999999998,NAH1,evi
1991,1549.973,1971.8609999999999,NAH1,evi
1992,2006.4470000000001,1985.359,NAH1,evi
1993,1384.6929999999998,1998.857,NAH1,evi
1994,1704.1979999999999,2012.355,NAH1,evi
1995,1826.51,2025.8529999999998,NAH1,evi
1996,2099.904,2039.3509999999999,NAH1,evi
1997,2033.1329999999998,2052.849,NAH1,evi
1998,3492.02,2066.347,NAH1,evi
1999,2102.948,2079.8450000000003,NAH1,evi
2000,2241.5190000000002,2093.3430000000003,NAH1,evi
2001,2079.574,2106.8410000000003,NAH1,evi
2002,2585.043,2120.3390000000004,NAH1,evi
2003,2121.927,2133.8370000000004,NAH1,evi
2004,3085.7039999999997,2147.3350000000005,NAH1,evi
2005,1694.719,2160.8330000000005,NAH1,evi
2006,2009.059,2174.3310000000006,NAH1,evi
2007,2235.604,2187.829,NAH1,evi
2008,2287.287,2201.327,NAH1,evi
2009,2234.6910000000003,2214.8250000000003,NAH1,evi
2010,1931.547,2228.3230000000003,NAH1,evi
2011,1971.209,2241.8210000000004,NAH1,evi
2012,3209.565,2255.3190000000004,NAH1,evi
2013,3289.348,2268.8170000000005,NAH1,evi
2014,1933.849,2282.3140000000003,NAH1,evi
2015,2190.599,2295.8120000000004,NAH1,evi
2016,2978.8910000000005,2309.3100000000004,NAH1,evi
2017,1649.756,2322.808,NAH1,evi
2018,2205.2459999999996,2336.306,NAH1,evi
2019,1765.155,2349.804,NAH1,evi
2020,2255.9330000000004,2363.302,NAH1,evi
2021,2479.8770000000004,2376.8,NAH1,evi
1984,531.685,592.421,NAH1,ndvi
1985,507.878,595.573,NAH1,ndvi
1986,705.331,598.725,NAH1,ndvi
1987,634.119,601.877,NAH1,ndvi
1988,595.257,605.029,NAH1,ndvi
1989,568.998,608.18,NAH1,ndvi
1990,652.642,611.332,NAH1,ndvi
1991,552.732,614.484,NAH1,ndvi
1992,601.066,617.636,NAH1,ndvi
1993,544.914,620.787,NAH1,ndvi
1994,597.089,623.939,NAH1,ndvi
1995,626.104,627.091,NAH1,ndvi
1996,679.194,630.243,NAH1,ndvi
1997,631.333,633.394,NAH1,ndvi
1998,676.8,636.546,NAH1,ndvi
1999,672.766,639.698,NAH1,ndvi
2000,645.099,642.85,NAH1,ndvi
2001,647.228,646.002,NAH1,ndvi
2002,719.552,649.153,NAH1,ndvi
2003,636.499,652.305,NAH1,ndvi
2004,744.47,655.457,NAH1,ndvi
2005,591.627,658.609,NAH1,ndvi
2006,642.249,661.76,NAH1,ndvi
2007,660.532,664.912,NAH1,ndvi
2008,618.962,668.064,NAH1,ndvi
2009,648.266,671.216,NAH1,ndvi
2010,703.778,674.367,NAH1,ndvi
2011,616.585,677.519,NAH1,ndvi
2012,735.412,680.671,NAH1,ndvi
2013,731.354,683.823,NAH1,ndvi
2014,727.556,686.974,NAH1,ndvi
2015,723.647,690.126,NAH1,ndvi
2016,718.738,693.278,NAH1,ndvi
2017,585.313,696.43,NAH1,ndvi
2018,675.922,699.582,NAH1,ndvi
2019,604.712,702.733,NAH1,ndvi
2020,699.122,705.885,NAH1,ndvi
2021,778.521,709.037,NAH1,ndvi
1984,1251.959,1990.268,NAH2,evi
1985,3177.267,1990.268,NAH2,evi
1986,1794.075,1990.268,NAH2,evi
1987,1699.3709999999999,1990.268,NAH2,evi
1988,1887.387,1990.268,NAH2,evi
1989,2330.165,1990.268,NAH2,evi
1990,2059.481,1990.268,NAH2,evi
1991,1672.984,1990.268,NAH2,evi
1992,1665.1609999999998,1990.268,NAH2,evi
1993,1845.218,1990.268,NAH2,evi
1994,1837.655,1990.268,NAH2,evi
1995,2626.761,1990.268,NAH2,evi
1996,2352.308,1990.268,NAH2,evi
1997,1921.579,1990.268,NAH2,evi
1998,2808.8910000000005,1990.268,NAH2,evi
1999,1730.769,1990.268,NAH2,evi
2000,1788.822,1990.268,NAH2,evi
2001,1653.052,1990.268,NAH2,evi
2002,2184.804,1990.268,NAH2,evi
2003,1647.727,1990.268,NAH2,evi
2004,2409.4750000000004,1990.268,NAH2,evi
2005,1420.528,1990.268,NAH2,evi
2006,1984.816,1990.268,NAH2,evi
2007,1638.8819999999998,1990.268,NAH2,evi
2008,2203.8,1990.268,NAH2,evi
2009,2157.7799999999997,1990.268,NAH2,evi
2010,1477.03,1990.268,NAH2,evi
2011,1968.912,1990.268,NAH2,evi
2012,1611.986,1990.268,NAH2,evi
2013,1969.993,1990.268,NAH2,evi
2014,2572.044,1990.268,NAH2,evi
2015,2463.118,1990.268,NAH2,evi
2016,1562,1990.268,NAH2,evi
2017,1833.016,1990.268,NAH2,evi
2018,2133.669,1990.268,NAH2,evi
2019,1863.308,1990.268,NAH2,evi
2020,2450.232,1990.268,NAH2,evi
2021,2146.907,1990.268,NAH2,evi
1984,440.024,519.132,NAH2,ndvi
1985,501.161,522.413,NAH2,ndvi
1986,589.116,525.694,NAH2,ndvi
1987,515.846,528.974,NAH2,ndvi
1988,561.411,532.255,NAH2,ndvi
1989,570.198,535.536,NAH2,ndvi
1990,563.622,538.817,NAH2,ndvi
1991,527.732,542.098,NAH2,ndvi
1992,526.166,545.379,NAH2,ndvi
1993,450.124,548.659,NAH2,ndvi
1994,543.786,551.94,NAH2,ndvi
1995,615.173,555.221,NAH2,ndvi
1996,650.915,558.502,NAH2,ndvi
1997,573.199,561.783,NAH2,ndvi
1998,580.896,565.064,NAH2,ndvi
