year,original,fitted,plot,vi
1984,1441.752,1786.931,APH,evi
1985,1869.068,1721.971,APH,evi
1986,1774.222,1657.011,APH,evi
1987,1910.1229999999998,1592.051,APH,evi
1988,1418.618,1527.09,APH,evi
1989,1974.4660000000001,1462.1299999999999,APH,evi
1990,1726.2450000000001,1397.1699999999998,APH,evi
1991,1522.1739999999998,1332.21,APH,evi
1992,385.71999999999997,1267.249,APH,evi
1993,373.371,1202.289,APH,evi
1994,848.624,1137.329,APH,evi
1995,1083.1299999999999,1072.369,APH,evi
1996,1261.6819999999998,1007.408,APH,evi
1997,1516.46,942.448,APH,evi
1998,1400.412,997.681,APH,evi
1999,1491.087,1052.913,APH,evi
2000,1535.879,1108.146,APH,evi
2001,1581.728,1163.378,APH,evi
2002,1652.765,1218.6109999999999,APH,evi
2003,1485.989,1273.8439999999998,APH,evi
2004,1736.795,1329.076,APH,evi
2005,1371.0939999999998,1384.309,APH,evi
2006,1015.3419999999999,1439.541,APH,evi
2007,1061.9470000000001,1494.774,APH,evi
2008,1453.078,1550.006,APH,evi
2009,1456.635,1605.239,APH,evi
2010,1417.254,1660.472,APH,evi
2011,1778.297,1715.704,APH,evi
2012,1313.786,1770.9370000000001,APH,evi
2013,2531.216,1826.1689999999999,APH,evi
2014,1788.8629999999998,1881.402,APH,evi
2015,1965.523,1936.6339999999998,APH,evi
2016,1734.5939999999998,1991.867,APH,evi
2017,1968.545,2047.1,APH,evi
2018,2279.783,2102.3320000000003,APH,evi
2019,2359.539,2157.565,APH,evi
2020,1980.232,2212.797,APH,evi
2021,2216.454,2268.03,APH,evi
1984,550.121,493.494,APH,ndvi
1985,659.153,499.358,APH,ndvi
1986,649.696,505.222,APH,ndvi
1987,645.395,511.086,APH,ndvi
1988,629.191,516.95,APH,ndvi
1989,641.172,522.814,APH,ndvi
1990,670.563,528.678,APH,ndvi
1991,611.111,534.541,APH,ndvi
1992,130.556,540.405,APH,ndvi
1993,180.46,546.269,APH,ndvi
1994,406.864,552.133,APH,ndvi
1995,428.995,557.997,APH,ndvi
1996,566.317,563.861,APH,ndvi
1997,570.365,569.725,APH,ndvi
1998,634.733,575.589,APH,ndvi
1999,581.221,581.453,APH,ndvi
2000,615.914,587.317,APH,ndvi
2001,620.353,593.181,APH,ndvi
2002,653.236,599.045,APH,ndvi
2003,599.871,604.909,APH,ndvi
2004,627.02,610.773,APH,ndvi
2005,562.68,616.637,APH,ndvi
