system:time_start,APH,ASH1,BAH,NPD,NAH2,NSH,ASH2,BPD,BSD,NSD,NPH,NAH1,NAD
"Aug 1, 1984",0.558,0.37,0.242,0.313,0.495,0.426,0.585,0.348,0.201,0.457,0.319,0.551,0.43
"Aug 1, 1985",0.577,0.372,,,,,0.652,,,,,,
"Aug 1, 1986",0.606,0.422,-0.004,0.444,0.381,0.535,0.664,0.466,0.259,0.493,0.448,0.378,0.226
"Aug 1, 1987",0.613,0.389,0.321,0.491,0.537,0.568,0.648,0.468,0.271,0.469,0.507,0.583,0.454
"Aug 1, 1988",0.603,0.401,0.247,0.486,0.548,0.536,0.664,0.48,0.256,0.51,0.535,0.59,0.447
"Aug 1, 1989",0.608,0.469,0.322,0.442,0.568,0.608,0.683,0.516,0.304,0.52,0.505,0.619,0.485
"Aug 1, 1990",0.63,0.432,0.334,0.487,0.561,0.635,0.663,0.561,0.365,0.555,0.539,0.584,0.471
"Aug 1, 1991",0.578,0.411,0.336,0.45,0.509,0.576,0.659,0.482,0.284,0.538,0.469,0.593,0.452
"Aug 1, 1992",0.357,0.406,0.32,0.47,0.506,0.578,0.614,0.487,0.303,0.534,0.46,0.517,0.443
"Aug 1, 1993",0.281,0.388,0.247,0.454,0.519,0.558,0.645,0.521,0.311,0.498,0.471,0.539,0.438
"Aug 1, 1994",0.398,0.438,0.331,0.465,0.528,0.609,0.657,0.545,0.356,0.561,0.489,0.558,0.46
"Aug 1, 1995",0.442,0.404,0.354,0.447,0.562,0.641,0.674,0.552,0.382,0.566,0.515,0.594,0.46
"Aug 1, 1996",0.567,0.434,0.389,0.463,0.615,0.658,0.705,0.543,0.392,0.583,0.499,0.655,0.544
"Aug 1, 1997",0.589,0.46,0.399,0.428,0.594,0.649,0.692,0.537,0.403,0.607,0.52,0.633,0.508
"Aug 1, 1998",0.606,0.474,0.366,0.543,0.615,0.672,0.728,0.583,0.415,0.627,0.6,0.668,0.547
"Aug 1, 1999",0.6,0.451,0.338,0.474,0.589,0.653,0.7,0.542,0.366,0.589,0.556,0.645,0.543
"Aug 1, 2000",0.611,0.467,0.321,0.487,0.556,0.651,0.681,0.496,0.363,0.609,0.548,0.635,0.509
"Aug 1, 2001",0.651,0.465,0.398,0.489,0.593,0.67,0.681,0.509,0.36,0.618,0.538,0.668,0.575
"Aug 1, 2002",0.634,0.484,0.374,0.498,0.606,0.638,0.67,0.497,0.386,0.613,0.548,0.671,0.576
"Aug 1, 2003",0.622,0.458,0.404,0.519,0.576,0.654,0.711,0.506,0.385,0.619,0.591,0.673,0.59
"Aug 1, 2004",0.629,0.493,0.418,0.544,0.605,0.651,0.72,0.557,0.426,0.664,0.599,0.698,0.602
"Aug 1, 2005",0.533,0.46,0.286,0.478,0.527,0.616,0.676,0.513,0.346,0.573,0.556,0.599,0.509
"Aug 1, 2006",0.462,0.477,0.417,0.492,0.559,0.645,0.658,0.535,0.426,0.622,0.543,0.631,0.542
"Aug 1, 2007",0.506,0.497,0.408,0.486,0.574,0.645,0.658,0.545,0.387,0.6,0.535,0.638,0.564
"Aug 1, 2008",0.574,0.528,0.334,0.471,0.571,0.63,0.694,0.536,0.402,0.565,0.533,0.637,0.559
"Aug 1, 2009",0.575,0.506,0.388,0.496,0.57,0.632,0.676,0.526,0.434,0.589,0.551,0.639,0.592
"Aug 1, 2010",0.627,0.505,0.45,0.497,0.561,0.629,0.706,0.555,0.418,0.612,0.547,0.652,0.622
"Aug 1, 2011",0.647,0.547,0.361,0.575,0.59,0.639,0.733,0.606,0.472,0.66,0.61,0.648,0.604
"Aug 1, 2012",0.654,0.507,0.313,0.525,0.581,0.64,0.713,0.528,0.392,0.621,0.581,0.668,0.588
"Aug 1, 2013",0.728,0.536,0.425,0.563,0.624,0.716,0.761,0.535,0.476,0.703,0.608,0.738,0.663
"Aug 1, 2014",0.749,0.544,0.399,0.559,0.67,0.671,0.768,0.555,0.462,0.678,0.618,0.739,0.67
"Aug 1, 2015",0.748,0.546,0.357,0.542,0.638,0.651,0.755,0.516,0.456,0.654,0.609,0.7,0.708
"Aug 1, 2016",0.735,0.554,0.369,0.497,0.647,0.631,0.754,0.495,0.419,0.605,0.573,0.712,0.669
"Aug 1, 2017",0.745,0.556,0.37,0.505,0.622,0.635,0.744,0.477,0.416,0.591,0.553,0.664,0.628
"Aug 1, 2018",0.764,0.577,0.445,0.56,0.67,0.669,0.767,0.567,0.498,0.637,0.606,0.729,0.693
"Aug 1, 2019",0.776,0.553,0.422,0.554,0.631,0.656,0.762,0.563,0.507,0.624,0.609,0.676,0.666
"Aug 1, 2020",0.782,0.565,0.454,0.551,0.665,0.69,0.771,0.56,0.501,0.643,0.62,0.72,0.691
"Aug 1, 2021",0.758,0.587,0.428,0.52,0.661,0.673,0.776,0.567,0.513,0.661,0.591,0.723,0.69
