system:index,EVI,NDMI,NDVI,NDWI,SAVI,SLA,VIG,name,.geo
20170409T105651_20170409T110529_T30SVF_00000000000000000000,0.37412573736248816,0.4220055701669627,0.882895344576923,0.631642028932952,0.4006834924221039,2.383022774327122,-0.5165165165165164,APH,"{""type"":""Point"",""coordinates"":[-3.913967031460013,36.875111385506585]}"
20170409T105651_20170409T110529_T30SVF_00000000000000000001,0.4846007412566995,0.4205748650090637,0.8262560743668932,0.627853205769111,0.4729127883911133,2.226207906295754,-0.3009009009009009,ASH1,"{""type"":""Point"",""coordinates"":[-3.9265595328349434,36.8801680061012]}"
20170409T105651_20170409T110529_T30SVF_00000000000000000002,,,,,,,,BAH,"{""type"":""Point"",""coordinates"":[-2.855915992599429,37.37717940951828]}"
20170409T105651_20170409T110529_T30SVF_00000000000000000003,,,,,,,,NPD,"{""type"":""Point"",""coordinates"":[-3.1782108985403896,37.17621218414052]}"
20170409T105651_20170409T110529_T30SVF_00000000000000000004,,,,,,,,NAH2,"{""type"":""Point"",""coordinates"":[-3.4704113314716447,37.076569112000215]}"
20170409T105651_20170409T110529_T30SVF_00000000000000000005,,,,,,,,NSH,"{""type"":""Point"",""coordinates"":[-3.051246914245625,37.13410043379177]}"
20170409T105651_20170409T110529_T30SVF_00000000000000000006,0.49821503858302835,0.4950148030888634,0.8444148907761369,0.6852976789286571,0.47577419877052307,2.030256012412723,-0.30899830220713076,ASH2,"{""type"":""Point"",""coordinates"":[-3.9238706948997164,36.875374472468735]}"
20170409T105651_20170409T110529_T30SVF_00000000000000000007,,,,,,,,BPD,"{""type"":""Point"",""coordinates"":[-2.708395552448278,37.31068083550823]}"
20170409T105651_20170409T110529_T30SVF_00000000000000000008,,,,,,,,BSD,"{""type"":""Point"",""coordinates"":[-2.7068304079785186,37.28738203250398]}"
20170409T105651_20170409T110529_T30SVF_00000000000000000009,,,,,,,,NSD,"{""type"":""Point"",""coordinates"":[-3.11788372038832,37.13373478750539]}"
20170409T105651_20170409T110529_T30SVF_0000000000000000000a,,,,,,,,NPH,"{""type"":""Point"",""coordinates"":[-3.1799588661533402,37.176885508399586]}"
20170409T105651_20170409T110529_T30SVF_0000000000000000000b,,,,,,,,NAH1,"{""type"":""Point"",""coordinates"":[-3.4733008289542777,37.0750663949452]}"
20170409T105651_20170409T110529_T30SVF_0000000000000000000c,,,,,,,,NAD,"{""type"":""Point"",""coordinates"":[-3.4602624174740013,37.10169614643638]}"
20170409T105651_20170409T110529_T30SVG_00000000000000000000,,,,,,,,APH,"{""type"":""Point"",""coordinates"":[-3.913967031460013,36.875111385506585]}"
20170409T105651_20170409T110529_T30SVG_00000000000000000001,,,,,,,,ASH1,"{""type"":""Point"",""coordinates"":[-3.9265595328349434,36.8801680061012]}"
20170409T105651_20170409T110529_T30SVG_00000000000000000002,,,,,,,,BAH,"{""type"":""Point"",""coordinates"":[-2.855915992599429,37.37717940951828]}"
20170409T105651_20170409T110529_T30SVG_00000000000000000003,0.2801750962039014,0.1272280407283961,0.5871917074491377,0.33868614370119526,0.27841609716415405,1.087110064743967,-0.22187981510015403,NPD,"{""type"":""Point"",""coordinates"":[-3.1782108985403896,37.17621218414052]}"
20170409T105651_20170409T110529_T30SVG_00000000000000000004,0.4447686491368568,0.3234539691480314,0.8501992032227293,0.49806451080175396,0.4262316823005676,1.4578706727629,-0.3765996343692871,NAH2,"{""type"":""Point"",""coordinates"":[-3.4704113314716447,37.076569112000215]}"
20170409T105651_20170409T110529_T30SVG_00000000000000000005,0.375566887009152,0.2976421552539851,0.6571023696594406,0.4907584378662558,0.3556819558143616,1.3705014749262538,-0.2223738062755798,NSH,"{""type"":""Point"",""coordinates"":[-3.051246914245625,37.13410043379177]}"
20170409T105651_20170409T110529_T30SVG_00000000000000000006,,,,,,,,ASH2,"{""type"":""Point"",""coordinates"":[-3.9238706948997164,36.875374472468735]}"
20170409T105651_20170409T110529_T30SVG_00000000000000000007,,,,,,,,BPD,"{""type"":""Point"",""coordinates"":[-2.708395552448278,37.31068083550823]}"
20170409T105651_20170409T110529_T30SVG_00000000000000000008,,,,,,,,BSD,"{""type"":""Point"",""coordinates"":[-2.7068304079785186,37.28738203250398]}"
20170409T105651_20170409T110529_T30SVG_00000000000000000009,0.3246780715660198,0.2218365389197666,0.6554082893490797,0.4183150160798101,0.31332606077194214,1.1846153846153848,-0.22656826568265676,NSD,"{""type"":""Point"",""coordinates"":[-3.11788372038832,37.13373478750539]}"
20170409T105651_20170409T110529_T30SVG_0000000000000000000a,0.26901591931168567,0.18027092767688593,0.6051015607048285,0.3757085022653323,0.2699873447418213,1.0774278215223096,-0.2882805816937554,NPH,"{""type"":""Point"",""coordinates"":[-3.1799588661533402,37.176885508399586]}"
20170409T105651_20170409T110529_T30SVG_0000000000000000000b,0.32110285563145374,0.2959221752026259,0.7764102502185838,0.48542023208796625,0.3267625868320465,1.9566020313942751,-0.2561768530559168,NAH1,"{""type"":""Point"",""coordinates"":[-3.4733008289542777,37.0750663949452]}"
20170409T105651_20170409T110529_T30SVG_0000000000000000000c,0.2762782507314044,0.11095456833419345,0.6643799347808822,0.30546358246453453,0.27389413118362427,1.5163710777626194,-0.2210321324245375,NAD,"{""type"":""Point"",""coordinates"":[-3.4602624174740013,37.10169614643638]}"
20170409T105651_20170409T110529_T30SWG_00000000000000000000,,,,,,,,APH,"{""type"":""Point"",""coordinates"":[-3.913967031460013,36.875111385506585]}"
20170409T105651_20170409T110529_T30SWG_00000000000000000001,,,,,,,,ASH1,"{""type"":""Point"",""coordinates"":[-3.9265595328349434,36.8801680061012]}"
20170409T105651_20170409T110529_T30SWG_00000000000000000002,0.32981528252511666,0.13041674428897782,0.4339820943068706,0.26086955690347463,0.2811860740184784,0.7813482361159623,-0.14272809394760616,BAH,"{""type"":""Point"",""coordinates"":[-2.855915992599429,37.37717940951828]}"
20170409T105651_20170409T110529_T30SWG_00000000000000000003,,,,,,,,NPD,"{""type"":""Point"",""coordinates"":[-3.1782108985403896,37.17621218414052]}"
20170409T105651_20170409T110529_T30SWG_00000000000000000004,,,,,,,,NAH2,"{""type"":""Point"",""coordinates"":[-3.4704113314716447,37.076569112000215]}"
20170409T105651_20170409T110529_T30SWG_00000000000000000005,,,,,,,,NSH,"{""type"":""Point"",""coordinates"":[-3.051246914245625,37.13410043379177]}"
20170409T105651_20170409T110529_T30SWG_00000000000000000006,,,,,,,,ASH2,"{""type"":""Point"",""coordinates"":[-3.9238706948997164,36.875374472468735]}"
20170409T105651_20170409T110529_T30SWG_00000000000000000007,0.20578323282482702,0.0495804898600851,0.5087719556229703,0.23076924684534217,0.20398594439029694,1.0433168316831685,-0.22727272727272724,BPD,"{""type"":""Point"",""coordinates"":[-2.708395552448278,37.31068083550823]}"
20170409T105651_20170409T110529_T30SWG_00000000000000000008,0.20216029546093348,-0.052206534667482075,0.4139414794064375,0.10379575161735743,0.19702348113059998,0.7584033613445378,-0.24821002386634844,BSD,"{""type"":""Point"",""coordinates"":[-2.7068304079785186,37.28738203250398]}"
20170409T105651_20170409T110529_T30SWG_00000000000000000009,,,,,,,,NSD,"{""type"":""Point"",""coordinates"":[-3.11788372038832,37.13373478750539]}"
20170409T105651_20170409T110529_T30SWG_0000000000000000000a,,,,,,,,NPH,"{""type"":""Point"",""coordinates"":[-3.1799588661533402,37.176885508399586]}"
20170409T105651_20170409T110529_T30SWG_0000000000000000000b,,,,,,,,NAH1,"{""type"":""Point"",""coordinates"":[-3.4733008289542777,37.0750663949452]}"
20170409T105651_20170409T110529_T30SWG_0000000000000000000c,,,,,,,,NAD,"{""type"":""Point"",""coordinates"":[-3.4602624174740013,37.10169614643638]}"
20170506T105031_20170506T105029_T30SWG_00000000000000000000,,,,,,,,APH,"{""type"":""Point"",""coordinates"":[-3.913967031460013,36.875111385506585]}"
20170506T105031_20170506T105029_T30SWG_00000000000000000001,,,,,,,,ASH1,"{""type"":""Point"",""coordinates"":[-3.9265595328349434,36.8801680061012]}"
20170506T105031_20170506T105029_T30SWG_00000000000000000002,,,,,,,,BAH,"{""type"":""Point"",""coordinates"":[-2.855915992599429,37.37717940951828]}"
20170506T105031_20170506T105029_T30SWG_00000000000000000003,,,,,,,,NPD,"{""type"":""Point"",""coordinates"":[-3.1782108985403896,37.17621218414052]}"
20170506T105031_20170506T105029_T30SWG_00000000000000000004,,,,,,,,NAH2,"{""type"":""Point"",""coordinates"":[-3.4704113314716447,37.076569112000215]}"
20170506T105031_20170506T105029_T30SWG_00000000000000000005,,,,,,,,NSH,"{""type"":""Point"",""coordinates"":[-3.051246914245625,37.13410043379177]}"
20170506T105031_20170506T105029_T30SWG_00000000000000000006,,,,,,,,ASH2,"{""type"":""Point"",""coordinates"":[-3.9238706948997164,36.875374472468735]}"
20170506T105031_20170506T105029_T30SWG_00000000000000000007,0.20606182674512932,0.010596409564353121,0.43569890821913143,0.18284902590332475,0.20744025707244873,0.8924284395198522,-0.2467692307692308,BPD,"{""type"":""Point"",""coordinates"":[-2.708395552448278,37.31068083550823]}"
20170506T105031_20170506T105029_T30SWG_00000000000000000008,0.20945261058992815,-0.05948477349488104,0.3843502314264359,0.08952794757487649,0.21168206632137299,0.7750165672630881,-0.2647475224162341,BSD,"{""type"":""Point"",""coordinates"":[-2.7068304079785186,37.28738203250398]}"
20170506T105031_20170506T105029_T30SWG_00000000000000000009,,,,,,,,NSD,"{""type"":""Point"",""coordinates"":[-3.11788372038832,37.13373478750539]}"
20170506T105031_20170506T105029_T30SWG_0000000000000000000a,,,,,,,,NPH,"{""type"":""Point"",""coordinates"":[-3.1799588661533402,37.176885508399586]}"
20170506T105031_20170506T105029_T30SWG_0000000000000000000b,,,,,,,,NAH1,"{""type"":""Point"",""coordinates"":[-3.4733008289542777,37.0750663949452]}"
20170506T105031_20170506T105029_T30SWG_0000000000000000000c,,,,,,,,NAD,"{""type"":""Point"",""coordinates"":[-3.4602624174740013,37.10169614643638]}"
20170519T105651_20170519T110530_T30SVF_00000000000000000000,0.49854466221498894,0.3990243859803371,0.8720626605505603,0.642141422728584,0.4970237910747528,2.135030864197531,-0.2732447817836813,APH,"{""type"":""Point"",""coordinates"":[-3.913967031460013,36.875111385506585]}"
20170519T105651_20170519T110530_T30SVF_00000000000000000001,0.5347625914589192,0.43841606116177023,0.9124786378887259,0.6520968807800691,0.5051735043525696,2.4759898904802022,-0.35754824063564133,ASH1,"{""type"":""Point"",""coordinates"":[-3.9265595328349434,36.8801680061012]}"
20170519T105651_20170519T110530_T30SVF_00000000000000000002,,,,,,,,BAH,"{""type"":""Point"",""coordinates"":[-2.855915992599429,37.37717940951828]}"
20170519T105651_20170519T110530_T30SVF_00000000000000000003,,,,,,,,NPD,"{""type"":""Point"",""coordinates"":[-3.1782108985403896,37.17621218414052]}"
20170519T105651_20170519T110530_T30SVF_00000000000000000004,,,,,,,,NAH2,"{""type"":""Point"",""coordinates"":[-3.4704113314716447,37.076569112000215]}"
20170519T105651_20170519T110530_T30SVF_00000000000000000005,,,,,,,,NSH,"{""type"":""Point"",""coordinates"":[-3.051246914245625,37.13410043379177]}"
20170519T105651_20170519T110530_T30SVF_00000000000000000006,0.5264431889532081,0.4748453133034074,0.9087743743926663,0.7003722136659715,0.4973323345184326,2.494565217391304,-0.3184713375796179,ASH2,"{""type"":""Point"",""coordinates"":[-3.9238706948997164,36.875374472468735]}"
20170519T105651_20170519T110530_T30SVF_00000000000000000007,,,,,,,,BPD,"{""type"":""Point"",""coordinates"":[-2.708395552448278,37.31068083550823]}"
20170519T105651_20170519T110530_T30SVF_00000000000000000008,,,,,,,,BSD,"{""type"":""Point"",""coordinates"":[-2.7068304079785186,37.28738203250398]}"
20170519T105651_20170519T110530_T30SVF_00000000000000000009,,,,,,,,NSD,"{""type"":""Point"",""coordinates"":[-3.11788372038832,37.13373478750539]}"
20170519T105651_20170519T110530_T30SVF_0000000000000000000a,,,,,,,,NPH,"{""type"":""Point"",""coordinates"":[-3.1799588661533402,37.176885508399586]}"
20170519T105651_20170519T110530_T30SVF_0000000000000000000b,,,,,,,,NAH1,"{""type"":""Point"",""coordinates"":[-3.4733008289542777,37.0750663949452]}"
20170519T105651_20170519T110530_T30SVF_0000000000000000000c,,,,,,,,NAD,"{""type"":""Point"",""coordinates"":[-3.4602624174740013,37.10169614643638]}"
20170519T105651_20170519T110530_T30SVG_00000000000000000000,,,,,,,,APH,"{""type"":""Point"",""coordinates"":[-3.913967031460013,36.875111385506585]}"
20170519T105651_20170519T110530_T30SVG_00000000000000000001,,,,,,,,ASH1,"{""type"":""Point"",""coordinates"":[-3.9265595328349434,36.8801680061012]}"
20170519T105651_20170519T110530_T30SVG_00000000000000000002,,,,,,,,BAH,"{""type"":""Point"",""coordinates"":[-2.855915992599429,37.37717940951828]}"
20170519T105651_20170519T110530_T30SVG_00000000000000000003,0.29248822258028895,0.0730878248947069,0.5480179788870888,0.28668478832768085,0.27010875940322876,1.0188778185631884,-0.17962835512732278,NPD,"{""type"":""Point"",""coordinates"":[-3.1782108985403896,37.17621218414052]}"
