system:index,EVI,NDMI,NDVI,NDWI,SAVI,SLA,VIG,name,.geo
20170519T105651_20170519T110530_T30SVG_00000000000000000004,0.5772657847194024,0.3526682166798684,0.8752010266799322,0.5731246651807207,0.5033296346664429,1.8374920025591812,-0.2522303325223033,NAH2,"{""type"":""Point"",""coordinates"":[-3.4704113314716447,37.076569112000215]}"
20170519T105651_20170519T110530_T30SVG_00000000000000000005,0.3936776312205921,0.2315352657056472,0.642198439604923,0.42783835446545754,0.338672012090683,1.3421506612995975,-0.15003394433129666,NSH,"{""type"":""Point"",""coordinates"":[-3.051246914245625,37.13410043379177]}"
20170519T105651_20170519T110530_T30SVG_00000000000000000006,,,,,,,,ASH2,"{""type"":""Point"",""coordinates"":[-3.9238706948997164,36.875374472468735]}"
20170519T105651_20170519T110530_T30SVG_00000000000000000007,,,,,,,,BPD,"{""type"":""Point"",""coordinates"":[-2.708395552448278,37.31068083550823]}"
20170519T105651_20170519T110530_T30SVG_00000000000000000008,,,,,,,,BSD,"{""type"":""Point"",""coordinates"":[-2.7068304079785186,37.28738203250398]}"
20170519T105651_20170519T110530_T30SVG_00000000000000000009,0.3639650021643392,0.21018734712526077,0.6516180515037835,0.396621615886797,0.32606956362724304,1.2220923436586792,-0.16940671908506075,NSD,"{""type"":""Point"",""coordinates"":[-3.11788372038832,37.13373478750539]}"
20170519T105651_20170519T110530_T30SVG_0000000000000000000a,0.337283509828628,0.1661989565557493,0.6548672605757239,0.3590116429005647,0.3057851195335388,1.0361374407582937,-0.27936507936507937,NPH,"{""type"":""Point"",""coordinates"":[-3.1799588661533402,37.176885508399586]}"
20170519T105651_20170519T110530_T30SVG_0000000000000000000b,0.5927738114272483,0.42747909858373306,0.9031538705913923,0.6576026682824764,0.5224843621253967,2.337248322147651,-0.17227319062181454,NAH1,"{""type"":""Point"",""coordinates"":[-3.4733008289542777,37.0750663949452]}"
20170519T105651_20170519T110530_T30SVG_0000000000000000000c,0.560484081159506,0.27988480365463736,0.8591352972903632,0.5277937135657177,0.46975091099739075,1.918192918192918,-0.23426838514025772,NAD,"{""type"":""Point"",""coordinates"":[-3.4602624174740013,37.10169614643638]}"
20170519T105651_20170519T110530_T30SWG_00000000000000000000,,,,,,,,APH,"{""type"":""Point"",""coordinates"":[-3.913967031460013,36.875111385506585]}"
20170519T105651_20170519T110530_T30SWG_00000000000000000001,,,,,,,,ASH1,"{""type"":""Point"",""coordinates"":[-3.9265595328349434,36.8801680061012]}"
20170519T105651_20170519T110530_T30SWG_00000000000000000002,0.23620267081519236,0.14051030384594562,0.28870459000501647,0.27610480350739286,0.21790540218353271,0.7576586433260395,-0.12847764926539545,BAH,"{""type"":""Point"",""coordinates"":[-2.855915992599429,37.37717940951828]}"
20170519T105651_20170519T110530_T30SWG_00000000000000000003,,,,,,,,NPD,"{""type"":""Point"",""coordinates"":[-3.1782108985403896,37.17621218414052]}"
20170519T105651_20170519T110530_T30SWG_00000000000000000004,,,,,,,,NAH2,"{""type"":""Point"",""coordinates"":[-3.4704113314716447,37.076569112000215]}"
20170519T105651_20170519T110530_T30SWG_00000000000000000005,,,,,,,,NSH,"{""type"":""Point"",""coordinates"":[-3.051246914245625,37.13410043379177]}"
20170519T105651_20170519T110530_T30SWG_00000000000000000006,,,,,,,,ASH2,"{""type"":""Point"",""coordinates"":[-3.9238706948997164,36.875374472468735]}"
20170519T105651_20170519T110530_T30SWG_00000000000000000007,0.21882302836501888,0.0462369258757144,0.49758453619416426,0.22336227673963818,0.21852900087833405,0.916170903190914,-0.2446043165467626,BPD,"{""type"":""Point"",""coordinates"":[-2.708395552448278,37.31068083550823]}"
20170519T105651_20170519T110530_T30SWG_00000000000000000008,0.22177740156605205,-0.01853709154602094,0.3943060222884785,0.13862247639193145,0.21280407905578613,0.7693989071038252,-0.238235294117647,BSD,"{""type"":""Point"",""coordinates"":[-2.7068304079785186,37.28738203250398]}"
20170519T105651_20170519T110530_T30SWG_00000000000000000009,,,,,,,,NSD,"{""type"":""Point"",""coordinates"":[-3.11788372038832,37.13373478750539]}"
20170519T105651_20170519T110530_T30SWG_0000000000000000000a,,,,,,,,NPH,"{""type"":""Point"",""coordinates"":[-3.1799588661533402,37.176885508399586]}"
20170519T105651_20170519T110530_T30SWG_0000000000000000000b,,,,,,,,NAH1,"{""type"":""Point"",""coordinates"":[-3.4733008289542777,37.0750663949452]}"
20170519T105651_20170519T110530_T30SWG_0000000000000000000c,,,,,,,,NAD,"{""type"":""Point"",""coordinates"":[-3.4602624174740013,37.10169614643638]}"
20170526T105031_20170526T105518_T30SWG_00000000000000000000,,,,,,,,APH,"{""type"":""Point"",""coordinates"":[-3.913967031460013,36.875111385506585]}"
20170526T105031_20170526T105518_T30SWG_00000000000000000001,,,,,,,,ASH1,"{""type"":""Point"",""coordinates"":[-3.9265595328349434,36.8801680061012]}"
20170526T105031_20170526T105518_T30SWG_00000000000000000002,,,,,,,,BAH,"{""type"":""Point"",""coordinates"":[-2.855915992599429,37.37717940951828]}"
20170526T105031_20170526T105518_T30SWG_00000000000000000003,,,,,,,,NPD,"{""type"":""Point"",""coordinates"":[-3.1782108985403896,37.17621218414052]}"
20170526T105031_20170526T105518_T30SWG_00000000000000000004,,,,,,,,NAH2,"{""type"":""Point"",""coordinates"":[-3.4704113314716447,37.076569112000215]}"
20170526T105031_20170526T105518_T30SWG_00000000000000000005,,,,,,,,NSH,"{""type"":""Point"",""coordinates"":[-3.051246914245625,37.13410043379177]}"
20170526T105031_20170526T105518_T30SWG_00000000000000000006,,,,,,,,ASH2,"{""type"":""Point"",""coordinates"":[-3.9238706948997164,36.875374472468735]}"
20170526T105031_20170526T105518_T30SWG_00000000000000000007,0.21572218749052025,0.0138775364979725,0.4226804100248916,0.17948716542988624,0.2179419845342636,0.8386967015285599,-0.24999999999999992,BPD,"{""type"":""Point"",""coordinates"":[-2.708395552448278,37.31068083550823]}"
20170526T105031_20170526T105518_T30SWG_00000000000000000008,0.21481645565731303,-0.05191489025528695,0.3552311516569531,0.08576998385284446,0.21138997375965118,0.7257553956834533,-0.2635322007111813,BSD,"{""type"":""Point"",""coordinates"":[-2.7068304079785186,37.28738203250398]}"
20170526T105031_20170526T105518_T30SWG_00000000000000000009,,,,,,,,NSD,"{""type"":""Point"",""coordinates"":[-3.11788372038832,37.13373478750539]}"
20170526T105031_20170526T105518_T30SWG_0000000000000000000a,,,,,,,,NPH,"{""type"":""Point"",""coordinates"":[-3.1799588661533402,37.176885508399586]}"
20170526T105031_20170526T105518_T30SWG_0000000000000000000b,,,,,,,,NAH1,"{""type"":""Point"",""coordinates"":[-3.4733008289542777,37.0750663949452]}"
20170526T105031_20170526T105518_T30SWG_0000000000000000000c,,,,,,,,NAD,"{""type"":""Point"",""coordinates"":[-3.4602624174740013,37.10169614643638]}"
20170529T105621_20170529T110523_T30SVF_00000000000000000000,0.5207918087880946,0.42302069756341115,0.7293729435362717,0.6077413391240334,0.4821009337902069,1.7596699329551315,-0.3405928614640048,APH,"{""type"":""Point"",""coordinates"":[-3.913967031460013,36.875111385506585]}"
20170529T105621_20170529T110523_T30SVF_00000000000000000001,,,,,,,,ASH1,"{""type"":""Point"",""coordinates"":[-3.9265595328349434,36.8801680061012]}"
20170529T105621_20170529T110523_T30SVF_00000000000000000002,,,,,,,,BAH,"{""type"":""Point"",""coordinates"":[-2.855915992599429,37.37717940951828]}"
20170529T105621_20170529T110523_T30SVF_00000000000000000003,,,,,,,,NPD,"{""type"":""Point"",""coordinates"":[-3.1782108985403896,37.17621218414052]}"
20170529T105621_20170529T110523_T30SVF_00000000000000000004,,,,,,,,NAH2,"{""type"":""Point"",""coordinates"":[-3.4704113314716447,37.076569112000215]}"
20170529T105621_20170529T110523_T30SVF_00000000000000000005,,,,,,,,NSH,"{""type"":""Point"",""coordinates"":[-3.051246914245625,37.13410043379177]}"
20170529T105621_20170529T110523_T30SVF_00000000000000000006,0.3433798758669729,0.09531315379598898,0.22723620260018207,0.26690979740171134,0.18905314803123474,1.1481846882399367,-0.08486804632618193,ASH2,"{""type"":""Point"",""coordinates"":[-3.9238706948997164,36.875374472468735]}"
20170529T105621_20170529T110523_T30SVF_00000000000000000007,,,,,,,,BPD,"{""type"":""Point"",""coordinates"":[-2.708395552448278,37.31068083550823]}"
20170529T105621_20170529T110523_T30SVF_00000000000000000008,,,,,,,,BSD,"{""type"":""Point"",""coordinates"":[-2.7068304079785186,37.28738203250398]}"
20170529T105621_20170529T110523_T30SVF_00000000000000000009,,,,,,,,NSD,"{""type"":""Point"",""coordinates"":[-3.11788372038832,37.13373478750539]}"
20170529T105621_20170529T110523_T30SVF_0000000000000000000a,,,,,,,,NPH,"{""type"":""Point"",""coordinates"":[-3.1799588661533402,37.176885508399586]}"
20170529T105621_20170529T110523_T30SVF_0000000000000000000b,,,,,,,,NAH1,"{""type"":""Point"",""coordinates"":[-3.4733008289542777,37.0750663949452]}"
20170529T105621_20170529T110523_T30SVF_0000000000000000000c,,,,,,,,NAD,"{""type"":""Point"",""coordinates"":[-3.4602624174740013,37.10169614643638]}"
20170529T105621_20170529T110523_T30SWG_00000000000000000000,,,,,,,,APH,"{""type"":""Point"",""coordinates"":[-3.913967031460013,36.875111385506585]}"
20170529T105621_20170529T110523_T30SWG_00000000000000000001,,,,,,,,ASH1,"{""type"":""Point"",""coordinates"":[-3.9265595328349434,36.8801680061012]}"
20170529T105621_20170529T110523_T30SWG_00000000000000000002,,,,,,,,BAH,"{""type"":""Point"",""coordinates"":[-2.855915992599429,37.37717940951828]}"
20170529T105621_20170529T110523_T30SWG_00000000000000000003,,,,,,,,NPD,"{""type"":""Point"",""coordinates"":[-3.1782108985403896,37.17621218414052]}"
20170529T105621_20170529T110523_T30SWG_00000000000000000004,,,,,,,,NAH2,"{""type"":""Point"",""coordinates"":[-3.4704113314716447,37.076569112000215]}"
20170529T105621_20170529T110523_T30SWG_00000000000000000005,,,,,,,,NSH,"{""type"":""Point"",""coordinates"":[-3.051246914245625,37.13410043379177]}"
20170529T105621_20170529T110523_T30SWG_00000000000000000006,,,,,,,,ASH2,"{""type"":""Point"",""coordinates"":[-3.9238706948997164,36.875374472468735]}"
20170529T105621_20170529T110523_T30SWG_00000000000000000007,0.20682715734523102,0.03691605378707211,0.4646977605143438,0.21749138205674454,0.21075765788555145,0.9748975409836066,-0.250167672702884,BPD,"{""type"":""Point"",""coordinates"":[-2.708395552448278,37.31068083550823]}"
20170529T105621_20170529T110523_T30SWG_00000000000000000008,0.20528361960773434,-0.025603158139992727,0.3738285280794697,0.12827821433613973,0.20498667657375336,0.7553602811950791,-0.24444444444444444,BSD,"{""type"":""Point"",""coordinates"":[-2.7068304079785186,37.28738203250398]}"
20170529T105621_20170529T110523_T30SWG_00000000000000000009,,,,,,,,NSD,"{""type"":""Point"",""coordinates"":[-3.11788372038832,37.13373478750539]}"
20170529T105621_20170529T110523_T30SWG_0000000000000000000a,,,,,,,,NPH,"{""type"":""Point"",""coordinates"":[-3.1799588661533402,37.176885508399586]}"
20170529T105621_20170529T110523_T30SWG_0000000000000000000b,,,,,,,,NAH1,"{""type"":""Point"",""coordinates"":[-3.4733008289542777,37.0750663949452]}"
20170529T105621_20170529T110523_T30SWG_0000000000000000000c,,,,,,,,NAD,"{""type"":""Point"",""coordinates"":[-3.4602624174740013,37.10169614643638]}"
20170605T105031_20170605T105303_T30SWG_00000000000000000000,,,,,,,,APH,"{""type"":""Point"",""coordinates"":[-3.913967031460013,36.875111385506585]}"
20170605T105031_20170605T105303_T30SWG_00000000000000000001,,,,,,,,ASH1,"{""type"":""Point"",""coordinates"":[-3.9265595328349434,36.8801680061012]}"
20170605T105031_20170605T105303_T30SWG_00000000000000000002,,,,,,,,BAH,"{""type"":""Point"",""coordinates"":[-2.855915992599429,37.37717940951828]}"
20170605T105031_20170605T105303_T30SWG_00000000000000000003,,,,,,,,NPD,"{""type"":""Point"",""coordinates"":[-3.1782108985403896,37.17621218414052]}"
20170605T105031_20170605T105303_T30SWG_00000000000000000004,,,,,,,,NAH2,"{""type"":""Point"",""coordinates"":[-3.4704113314716447,37.076569112000215]}"
20170605T105031_20170605T105303_T30SWG_00000000000000000005,,,,,,,,NSH,"{""type"":""Point"",""coordinates"":[-3.051246914245625,37.13410043379177]}"
20170605T105031_20170605T105303_T30SWG_00000000000000000006,,,,,,,,ASH2,"{""type"":""Point"",""coordinates"":[-3.9238706948997164,36.875374472468735]}"
20170605T105031_20170605T105303_T30SWG_00000000000000000007,0.2246883873619141,0.01595027483938076,0.44095095004042967,0.18027639934177242,0.22673504054546356,0.8655870445344129,-0.2615051434759069,BPD,"{""type"":""Point"",""coordinates"":[-2.708395552448278,37.31068083550823]}"
20170605T105031_20170605T105303_T30SWG_00000000000000000008,0.213961514464916,-0.07448631496832622,0.37882650930862866,0.07535437585867479,0.21902653574943542,0.7258868367047786,-0.30310663308144414,BSD,"{""type"":""Point"",""coordinates"":[-2.7068304079785186,37.28738203250398]}"
20170605T105031_20170605T105303_T30SWG_00000000000000000009,,,,,,,,NSD,"{""type"":""Point"",""coordinates"":[-3.11788372038832,37.13373478750539]}"
20170605T105031_20170605T105303_T30SWG_0000000000000000000a,,,,,,,,NPH,"{""type"":""Point"",""coordinates"":[-3.1799588661533402,37.176885508399586]}"
20170605T105031_20170605T105303_T30SWG_0000000000000000000b,,,,,,,,NAH1,"{""type"":""Point"",""coordinates"":[-3.4733008289542777,37.0750663949452]}"
20170605T105031_20170605T105303_T30SWG_0000000000000000000c,,,,,,,,NAD,"{""type"":""Point"",""coordinates"":[-3.4602624174740013,37.10169614643638]}"
20170618T105621_20170618T110415_T30SVF_00000000000000000000,0.13203644310387996,0.38344594892563394,0.5780346836368114,0.5918367369635849,0.14905597269535065,1.5937499999999998,-0.20795660036166363,APH,"{""type"":""Point"",""coordinates"":[-3.913967031460013,36.875111385506585]}"
20170618T105621_20170618T110415_T30SVF_00000000000000000001,0.3028207079512283,0.16152447994510308,0.27040139601601965,0.4414414241119154,0.19288858771324158,0.9676558852950984,-0.056677890011223336,ASH1,"{""type"":""Point"",""coordinates"":[-3.9265595328349434,36.8801680061012]}"
20170618T105621_20170618T110415_T30SVF_00000000000000000002,,,,,,,,BAH,"{""type"":""Point"",""coordinates"":[-2.855915992599429,37.37717940951828]}"
20170618T105621_20170618T110415_T30SVF_00000000000000000003,,,,,,,,NPD,"{""type"":""Point"",""coordinates"":[-3.1782108985403896,37.17621218414052]}"
20170618T105621_20170618T110415_T30SVF_00000000000000000004,,,,,,,,NAH2,"{""type"":""Point"",""coordinates"":[-3.4704113314716447,37.076569112000215]}"
