Year,Original,Fitted
"1,984",501.637,512.944
"1,985",515.59,523.429
"1,986",552.281,533.913
"1,987",541.647,544.398
"1,988",593.781,554.883
"1,989",567.263,565.368
"1,990",637.9,575.853
"1,991",553.086,586.338
"1,992",538.124,596.823
"1,993",573.993,607.308
"1,994",576.818,617.793
"1,995",668.267,628.277
"1,996",622.309,638.762
"1,997",645.249,649.247
"1,998",707.123,659.732
"1,999",610.536,659.147
"2,000",674.31,658.561
"2,001",708.694,657.975
"2,002",617.146,657.39
"2,003",658.382,656.804
"2,004",625.115,656.218
"2,005",638.533,655.633
"2,006",621.857,655.047
"2,007",619.187,654.462
"2,008",653.738,653.876
"2,009",574.856,653.29
"2,010",623.888,652.705
"2,011",614.933,652.119
"2,012",701.811,651.533
"2,013",693.71,650.948
"2,014",604.85,650.362
"2,015",646.948,649.777
"2,016",641.268,649.191
"2,017",591.819,648.605
"2,018",725.212,648.02
"2,019",655.309,647.434
"2,020",656.557,646.848
"2,021",704.107,646.263
