Year,Original,Fitted
"1,984",936.993,822.042
"1,985",855.681,888.591
"1,986",981.791,955.14
"1,987",929.295,"1,021.689"
"1,988","1,087.353","1,088.238"
"1,989","1,357.249","1,154.787"
"1,990","1,075.949","1,221.336"
"1,991","1,233.288","1,287.886"
"1,992","1,615.685","1,354.435"
"1,993","1,494.443","1,420.984"
"1,994","1,477.251","1,487.533"
"1,995","1,623.39","1,554.082"
"1,996","1,441.204","1,620.631"
"1,997","1,571.292","1,687.181"
"1,998","1,901.847","1,753.73"
"1,999","1,513.12","1,740.746"
"2,000","1,530.687","1,727.762"
"2,001","1,400.201","1,714.778"
"2,002","1,618.299","1,701.795"
"2,003","1,725.699","1,688.811"
"2,004","1,622.848","1,675.827"
"2,005","1,715.638","1,662.843"
"2,006","1,920.7","1,649.859"
"2,007","1,468.215","1,659.629"
"2,008","1,495.87","1,669.399"
"2,009","1,527.236","1,679.169"
"2,010","1,516.53","1,688.938"
"2,011","1,698.185","1,698.708"
"2,012","1,552.118","1,708.478"
"2,013","1,933.61","1,718.248"
"2,014","1,656.53","1,728.017"
"2,015","1,793.374","1,737.787"
"2,016","1,876.221","1,747.557"
"2,017","1,538.8","1,757.327"
"2,018","1,789.284","1,767.096"
"2,019","1,765.446","1,776.866"
"2,020","1,840.129","1,786.636"
"2,021","1,892.354","1,796.406"
