Year,Original,Fitted
"1,984","1,548.841","1,877.375"
"1,985","2,925.788","1,890.873"
"1,986","2,049.362","1,904.371"
"1,987","2,104.022","1,917.869"
"1,988","1,569.731","1,931.367"
"1,989","1,901.693","1,944.865"
"1,990","1,944.759","1,958.363"
"1,991","1,549.973","1,971.861"
"1,992","2,006.447","1,985.359"
"1,993","1,384.693","1,998.857"
"1,994","1,704.198","2,012.355"
"1,995","1,826.51","2,025.853"
"1,996","2,099.904","2,039.351"
"1,997","2,033.133","2,052.849"
"1,998","3,492.02","2,066.347"
"1,999","2,102.948","2,079.845"
"2,000","2,241.519","2,093.343"
"2,001","2,079.574","2,106.841"
"2,002","2,585.043","2,120.339"
"2,003","2,121.927","2,133.837"
"2,004","3,085.704","2,147.335"
"2,005","1,694.719","2,160.833"
"2,006","2,009.059","2,174.331"
"2,007","2,235.604","2,187.829"
"2,008","2,287.287","2,201.327"
"2,009","2,234.691","2,214.825"
"2,010","1,931.547","2,228.323"
"2,011","1,971.209","2,241.821"
"2,012","3,209.565","2,255.319"
"2,013","3,289.348","2,268.817"
"2,014","1,933.849","2,282.314"
"2,015","2,190.599","2,295.812"
"2,016","2,978.891","2,309.31"
"2,017","1,649.756","2,322.808"
"2,018","2,205.246","2,336.306"
"2,019","1,765.155","2,349.804"
"2,020","2,255.933","2,363.302"
"2,021","2,479.877","2,376.8"
