Year,Original,Fitted
"1,984","1,441.752","1,786.931"
"1,985","1,869.068","1,721.971"
"1,986","1,774.222","1,657.011"
"1,987","1,910.123","1,592.051"
"1,988","1,418.618","1,527.09"
"1,989","1,974.466","1,462.13"
"1,990","1,726.245","1,397.17"
"1,991","1,522.174","1,332.21"
"1,992",385.72,"1,267.249"
"1,993",373.371,"1,202.289"
"1,994",848.624,"1,137.329"
"1,995","1,083.13","1,072.369"
"1,996","1,261.682","1,007.408"
"1,997","1,516.46",942.448
"1,998","1,400.412",997.681
"1,999","1,491.087","1,052.913"
"2,000","1,535.879","1,108.146"
"2,001","1,581.728","1,163.378"
"2,002","1,652.765","1,218.611"
"2,003","1,485.989","1,273.844"
"2,004","1,736.795","1,329.076"
"2,005","1,371.094","1,384.309"
"2,006","1,015.342","1,439.541"
"2,007","1,061.947","1,494.774"
"2,008","1,453.078","1,550.006"
"2,009","1,456.635","1,605.239"
"2,010","1,417.254","1,660.472"
"2,011","1,778.297","1,715.704"
"2,012","1,313.786","1,770.937"
"2,013","2,531.216","1,826.169"
"2,014","1,788.863","1,881.402"
"2,015","1,965.523","1,936.634"
"2,016","1,734.594","1,991.867"
"2,017","1,968.545","2,047.1"
"2,018","2,279.783","2,102.332"
"2,019","2,359.539","2,157.565"
"2,020","1,980.232","2,212.797"
"2,021","2,216.454","2,268.03"
