Year,Original,Fitted
"1,984",567.028,647.965
"1,985",641.043,651.129
"1,986",662.225,654.293
"1,987",668.729,657.457
"1,988",689.087,660.621
"1,989",698.413,663.784
"1,990",697.752,666.948
"1,991",688.244,670.112
"1,992",621.339,673.276
"1,993",665.462,676.439
"1,994",667.385,679.603
"1,995",708.586,682.767
"1,996",734.491,685.931
"1,997",701.433,689.095
"1,998",776.934,692.258
"1,999",699.756,695.422
"2,000",729.958,698.586
"2,001",717.391,701.75
"2,002",715.237,704.914
"2,003",714.286,708.077
"2,004",738.612,711.241
"2,005",659.136,714.405
"2,006",668.966,717.569
"2,007",698.099,720.732
"2,008",724.193,723.896
"2,009",670.43,727.06
"2,010",693.247,730.224
"2,011",734.461,733.388
"2,012",718.421,736.551
"2,013",737.694,739.715
"2,014",769.805,742.879
"2,015",762.938,746.043
"2,016",751.544,749.207
"2,017",722.807,752.37
"2,018",759.541,755.534
"2,019",759.383,758.698
"2,020",788.901,761.862
"2,021",798.55,765.025
