Year,Original,Fitted
"1,984",490.687,439.621
"1,985",370.106,445.766
"1,986",542.537,451.911
"1,987",443.299,458.056
"1,988",472.027,464.202
"1,989",449.871,470.347
"1,990",517.655,476.492
"1,991",473.282,482.638
"1,992",496.178,488.783
"1,993",429.113,494.928
"1,994",460.549,501.073
"1,995",469.178,507.219
"1,996",530.499,513.364
"1,997",528.455,519.509
"1,998",531.422,525.655
"1,999",552.182,531.8
"2,000",529.165,537.945
"2,001",604.899,544.09
"2,002",607.794,550.236
"2,003",561.034,556.381
"2,004",599.801,562.526
"2,005",530.037,568.672
"2,006",559.42,574.817
"2,007",567.548,580.962
"2,008",471.716,587.107
"2,009",627.78,593.253
"2,010",655.662,599.398
"2,011",557.713,605.543
"2,012",612.773,611.689
"2,013",674.669,617.834
"2,014",634.437,623.979
"2,015",568.457,630.124
"2,016",644.034,636.27
"2,017",562.439,642.415
"2,018",629.245,648.56
"2,019",715.049,654.706
"2,020",702.293,660.851
"2,021",745.244,666.996
