Year,Original,Fitted
"1,984","1,540.157","1,203.595"
"1,985",947.524,"1,239.188"
"1,986","1,320.941","1,274.781"
"1,987","1,132.857","1,310.374"
"1,988","1,339.055","1,345.967"
"1,989","1,444.292","1,381.559"
"1,990","1,360.936","1,417.152"
"1,991","1,432.146","1,452.745"
"1,992","1,476.386","1,488.338"
"1,993","1,100.525","1,523.931"
"1,994","1,172.233","1,559.524"
"1,995","1,358.229","1,595.117"
"1,996","2,031.858","1,630.709"
"1,997","1,582.927","1,666.302"
"1,998","2,446.629","1,701.895"
"1,999","1,414.819","1,737.488"
"2,000","1,623.745","1,773.081"
"2,001","1,897.62","1,808.674"
"2,002","1,661.755","1,844.267"
"2,003","1,732.564","1,879.859"
"2,004","2,308.429","1,915.452"
"2,005","1,481.947","1,951.045"
"2,006","2,096.307","1,986.638"
"2,007","2,298.328","2,022.231"
"2,008","1,911.422","2,057.824"
"2,009","2,516.376","2,093.416"
"2,010","1,870.948","2,129.009"
"2,011","2,503.632","2,164.602"
"2,012","2,111.421","2,200.195"
"2,013","2,405.468","2,235.788"
"2,014","2,493.06","2,271.381"
"2,015","1,997.62","2,306.974"
"2,016","2,837.168","2,342.566"
"2,017","1,793.764","2,378.159"
"2,018","2,450.98","2,413.752"
"2,019","2,318.129","2,449.345"
"2,020","2,116.588","2,484.938"
"2,021","2,423.346","2,520.531"
