Year,Original,Fitted
"1,984",550.121,493.494
"1,985",659.153,499.358
"1,986",649.696,505.222
"1,987",645.395,511.086
"1,988",629.191,516.95
"1,989",641.172,522.814
"1,990",670.563,528.678
"1,991",611.111,534.541
"1,992",130.556,540.405
"1,993",180.46,546.269
"1,994",406.864,552.133
"1,995",428.995,557.997
"1,996",566.317,563.861
"1,997",570.365,569.725
"1,998",634.733,575.589
"1,999",581.221,581.453
"2,000",615.914,587.317
"2,001",620.353,593.181
"2,002",653.236,599.045
"2,003",599.871,604.909
"2,004",627.02,610.773
"2,005",562.68,616.637
"2,006",461.361,622.501
"2,007",466.576,628.365
"2,008",552.995,634.229
"2,009",578.13,640.093
"2,010",603.373,645.956
"2,011",649.7,651.82
"2,012",625.04,657.684
"2,013",740.943,663.548
"2,014",730.09,669.412
"2,015",716.904,675.276
"2,016",696.335,681.14
"2,017",743.958,687.004
"2,018",781.41,692.868
"2,019",782.769,698.732
"2,020",757.497,704.596
"2,021",753.053,710.46
