Year,Original,Fitted
"1,984",981.188,964.614
"1,985",963.877,971.055
"1,986",982.394,977.496
"1,987",872.679,983.937
"1,988","1,128.704",990.379
"1,989",920.786,996.82
"1,990",869.278,"1,003.261"
"1,991",831.37,"1,009.703"
"1,992","1,069.219","1,016.144"
"1,993","1,368.543","1,022.585"
"1,994","1,174.275","1,029.026"
"1,995",874.003,"1,035.468"
"1,996",980.556,"1,041.909"
"1,997","1,098.163","1,048.35"
"1,998","1,240.273","1,054.792"
"1,999","1,049.887","1,061.233"
"2,000","1,003.25","1,067.674"
"2,001","1,025.245","1,074.115"
"2,002",898.208,"1,080.557"
"2,003",911.548,"1,086.998"
"2,004","1,349.36","1,093.439"
"2,005",813.265,813.265
"2,006","1,168.13",878.941
"2,007",832.284,944.617
"2,008","1,034.267","1,010.293"
"2,009","1,331.906","1,075.969"
"2,010",964.495,"1,141.646"
"2,011","1,356.604","1,207.322"
"2,012","1,261.651","1,272.998"
"2,013","1,143.662","1,338.674"
"2,014","1,480.366","1,404.35"
"2,015","1,548.711","1,470.026"
"2,016","1,409.112","1,535.703"
"2,017","1,530.683","1,601.379"
"2,018","1,650.663","1,667.055"
"2,019","1,411.638","1,495.743"
"2,020","1,362.521","1,324.431"
"2,021","1,155.76","1,153.118"
