Year,Original,Fitted
"1,984",634.444,503.677
"1,985",615.498,515.568
"1,986",736.315,527.46
"1,987",542.21,539.352
"1,988",452.299,551.243
"1,989",561.601,563.135
"1,990",479.398,575.026
"1,991",644.925,586.918
"1,992",719.346,598.81
"1,993",490.743,610.701
"1,994",411.243,622.593
"1,995",574.991,634.484
"1,996",819.519,646.376
"1,997",951.339,658.268
"1,998",547.852,670.159
"1,999",467.709,682.051
"2,000",457.791,693.943
"2,001",860.088,705.834
"2,002",843.968,717.726
"2,003",538.374,729.617
"2,004",599.861,741.509
"2,005",498.715,753.401
"2,006",858.172,765.292
"2,007",862.55,777.184
"2,008",728.142,789.075
"2,009",869.852,800.967
"2,010",898.35,812.859
"2,011",593.612,824.75
"2,012",547.192,836.642
"2,013",972.967,848.534
"2,014",960.734,860.425
"2,015",747.236,872.317
"2,016",853.127,884.208
"2,017",861.278,896.1
"2,018",921.452,907.992
"2,019",975.526,919.883
"2,020","1,157.843",931.775
"2,021","1,112.312",943.666
