Year,Original,Fitted
"1,984","1,133.639",752.483
"1,985",753.268,766.718
"1,986",806.509,780.952
"1,987",606.293,795.187
"1,988",865.137,809.422
"1,989",869.37,823.657
"1,990","1,011.069",837.892
"1,991",887.839,852.127
"1,992",815.182,866.362
"1,993",620.284,880.597
"1,994",961.801,894.832
"1,995",760.037,909.067
"1,996",754.286,923.301
"1,997","1,264.816",937.536
"1,998",912.991,951.771
"1,999",926.838,966.006
"2,000",954.362,980.241
"2,001",924.239,994.476
"2,002","1,125.576","1,008.711"
"2,003",711.694,"1,022.946"
"2,004","1,045.161","1,037.181"
"2,005",844.591,"1,051.415"
"2,006",895.191,"1,065.65"
"2,007","1,110.263","1,079.885"
"2,008","1,279.394","1,094.12"
"2,009","1,186.537","1,108.355"
"2,010","1,415.3","1,122.59"
"2,011",983.786,"1,136.825"
"2,012","1,052.735","1,151.06"
"2,013","1,266.239","1,165.295"
"2,014","1,033.947","1,179.53"
"2,015","1,078.456","1,193.764"
"2,016","1,266.719","1,207.999"
"2,017","1,155.126","1,222.234"
"2,018","1,334.495","1,236.469"
"2,019","1,387.81","1,250.704"
"2,020","1,382.994","1,264.939"
"2,021","1,448.703","1,279.174"
