Year,Original,Fitted
"1,984",364.472,374.24
"1,985",427.778,378.368
"1,986",411.201,382.496
"1,987",409.074,386.623
"1,988",422.523,390.751
"1,989",380.813,394.879
"1,990",402.757,399.006
"1,991",359.273,403.134
"1,992",406.618,407.262
"1,993",421.448,411.389
"1,994",447.016,415.517
"1,995",365.002,419.645
"1,996",412.223,423.772
"1,997",412.157,427.9
"1,998",520.51,432.028
"1,999",419.736,436.155
"2,000",420.883,440.283
"2,001",423.705,444.411
"2,002",412.75,448.538
"2,003",428.068,452.666
"2,004",519.791,456.794
"2,005",408.87,460.921
"2,006",470.004,465.049
"2,007",401.214,469.177
"2,008",420.995,473.304
"2,009",470.499,477.432
"2,010",434.488,481.56
"2,011",530.034,485.687
"2,012",546.021,489.815
"2,013",495.742,493.942
"2,014",517.617,498.07
"2,015",541.635,502.198
"2,016",505.96,506.325
"2,017",528.152,510.453
"2,018",551.988,514.581
"2,019",519.017,518.708
"2,020",569.401,522.836
"2,021",478.985,526.964
