Year,Original,Fitted
"1,984","1,724.332","1,576.734"
"1,985","1,649.798","1,615.771"
"1,986","1,657.632","1,654.809"
"1,987","1,559.9","1,693.847"
"1,988","1,818.74","1,732.885"
"1,989","1,390.77","1,771.922"
"1,990","1,687.853","1,810.96"
"1,991","2,121.882","1,849.998"
"1,992","1,980.006","1,889.036"
"1,993","1,946.364","1,928.073"
"1,994","1,368.353","1,967.111"
"1,995","2,635.675","1,966.87"
"1,996","1,876.106","1,966.629"
"1,997","1,892.753","1,966.388"
"1,998","2,455.481","1,966.146"
"1,999","1,836.446","1,965.905"
"2,000","2,026.153","1,965.664"
"2,001","2,186.184","1,965.423"
"2,002","2,041.573","1,965.182"
"2,003","1,797.434","1,964.94"
"2,004","1,945.237","1,964.699"
"2,005","2,164.47","1,964.458"
"2,006","2,036.099","1,964.217"
"2,007","1,803.022","1,963.976"
"2,008","2,145.756","1,963.734"
"2,009","2,475.207","1,963.493"
"2,010","1,785.887","1,963.252"
"2,011","1,972.964","1,963.011"
"2,012","2,114.47","1,962.77"
"2,013","1,763.615","1,962.528"
"2,014","1,535.568","1,962.287"
"2,015","1,781.743","1,962.046"
"2,016","2,029.658","1,961.805"
"2,017","1,551.609","1,961.564"
"2,018","2,173.79","1,961.323"
"2,019","1,941.762","1,961.081"
"2,020","2,099.258","1,960.84"
"2,021","1,993.556","1,960.599"
