Year,Original,Fitted
"1,984",932.059,"1,432.118"
"1,985","1,821.294","1,432.118"
"1,986","1,084.427","1,432.118"
"1,987","1,263.872","1,432.118"
"1,988","1,184.685","1,432.118"
"1,989","1,502.457","1,432.118"
"1,990","1,327.623","1,432.118"
"1,991","1,866.022","1,432.118"
"1,992","1,473.558","1,432.118"
"1,993","1,373.847","1,432.118"
"1,994","1,852.818","1,432.118"
"1,995","1,408.698","1,432.118"
"1,996","1,584.76","1,432.118"
"1,997","1,595.039","1,432.118"
"1,998","4,841.27","1,432.118"
"1,999","1,561.93","1,432.118"
"2,000","1,253.555","1,432.118"
"2,001","1,473.237","1,432.118"
"2,002","1,254.625","1,432.118"
"2,003","1,311.539","1,432.118"
"2,004","2,196.876","1,432.118"
"2,005","1,566.085","1,432.118"
"2,006","1,251.11","1,432.118"
"2,007","1,081.331","1,432.118"
"2,008","1,734.287","1,432.118"
"2,009","1,140.521","1,432.118"
"2,010","1,834.328","1,432.118"
"2,011","1,830.564","1,432.118"
"2,012","1,286.084","1,432.118"
"2,013","1,408.556","1,432.118"
"2,014","1,428.242","1,432.118"
"2,015","1,597.109","1,432.118"
"2,016","1,171.792","1,432.118"
"2,017","1,094.992","1,432.118"
"2,018","1,570.027","1,432.118"
"2,019","1,830.01","1,432.118"
"2,020","1,228.676","1,432.118"
"2,021","1,645.305","1,432.118"
