Year,Original,Fitted
"1,984",366.582,353.208
"1,985",371.467,398.216
"1,986",456.598,443.224
"1,987",395.978,459.46
"1,988",472.282,475.695
"1,989",536.158,491.931
"1,990",508.345,508.166
"1,991",479.507,524.402
"1,992",510.707,540.637
"1,993",523.03,556.873
"1,994",567.304,573.108
"1,995",615.112,589.344
"1,996",572.924,605.579
"1,997",625.762,621.815
"1,998",682.781,638.05
"1,999",582.596,637.442
"2,000",614.176,636.835
"2,001",587.346,636.227
"2,002",594.815,635.619
"2,003",623.41,635.012
"2,004",620.092,634.404
"2,005",603.747,633.796
"2,006",659.244,633.188
"2,007",598.716,632.581
"2,008",552.35,631.973
"2,009",580.36,631.365
"2,010",602.083,630.758
"2,011",651.197,630.15
"2,012",618.347,629.542
"2,013",686.809,628.934
"2,014",662.849,628.327
"2,015",663.009,627.719
"2,016",646.223,627.111
"2,017",596.318,626.504
"2,018",621.528,625.896
"2,019",619.928,625.288
"2,020",640.164,624.68
"2,021",664.899,624.073
