Year,Original,Fitted
"1,984",351.749,464.446
"1,985",356.662,487.081
"1,986",552.061,509.717
"1,987",375.758,532.352
"1,988",520.38,554.988
"1,989",616.672,577.624
"1,990",792.828,600.259
"1,991",677.06,622.895
"1,992",866.932,645.53
"1,993",944.72,668.166
"1,994",583.686,690.801
"1,995",855.449,713.437
"1,996","1,091.679",736.072
"1,997",879.765,758.708
"1,998",949.655,781.343
"1,999",697.046,803.979
"2,000",652.627,826.614
"2,001",801.739,849.25
"2,002","1,010.023",871.885
"2,003",790.386,894.521
"2,004","1,099.018",917.156
"2,005",762.685,939.792
"2,006",956.582,962.427
"2,007",737.212,985.063
"2,008",994.493,"1,007.698"
"2,009",981.343,"1,030.334"
"2,010","1,073.425","1,052.969"
"2,011","1,351.799","1,075.605"
"2,012",877.636,"1,098.24"
"2,013","1,172.875","1,120.876"
"2,014","1,106.178","1,143.511"
"2,015","1,029.626","1,166.147"
"2,016","1,070.128","1,188.782"
"2,017",970.511,"1,211.418"
"2,018","1,316.636","1,234.054"
"2,019","1,911.29","1,256.689"
"2,020","1,370.114","1,279.325"
"2,021","1,596.639","1,301.96"
