code_site,elevation
APH,1253
ASH1,1475
BAH,1908
NPD,1329
NAH2,1783
NSH,1872
ASH2,1216
BPD,1459
BSD,1596
NSD,1912
NPH,1329
NAH1,1872
NAD,1764
