INDICATIVO;VARIABLE;FECHA;HORA;PERIODO;VALOR;VALIDACION
5108A;TD2;31/12/2007;7:00;1440;-1,7;E
5108A;TD2;01/01/2008;7:00;1440;-1,5;E
5108A;TD2;02/01/2008;7:00;1440;-1,6;E
5108A;TD2;03/01/2008;7:00;1440;-1,7;E
5108A;TD2;04/01/2008;7:00;1440;-2;E
5108A;TD2;05/01/2008;7:00;1440;-1,8;E
5108A;TD2;06/01/2008;7:00;1440;0;E
5108A;TD2;07/01/2008;7:00;1440;-1,6;E
5108A;TD2;08/01/2008;7:00;1440;3,5;E
5108A;TD2;09/01/2008;7:00;1440;1;E
5108A;TD2;10/01/2008;7:00;1440;0,1;E
5108A;TD2;11/01/2008;7:00;1440;-1,5;E
5108A;TD2;12/01/2008;7:00;1440;-1,5;E
5108A;TD2;13/01/2008;7:00;1440;0,2;E
5108A;TD2;14/01/2008;7:00;1440;-2;E
5108A;TD2;15/01/2008;7:00;1440;-1,9;E
5108A;TD2;16/01/2008;7:00;1440;-1,1;E
5108A;TD2;17/01/2008;7:00;1440;0;E
5108A;TD2;18/01/2008;7:00;1440;3;E
5108A;TD2;19/01/2008;7:00;1440;3,5;E
5108A;TD2;20/01/2008;7:00;1440;4,4;E
5108A;TD2;21/01/2008;7:00;1440;3,9;E
5108A;TD2;22/01/2008;7:00;1440;2;E
5108A;TD2;23/01/2008;7:00;1440;0;E
5108A;TD2;24/01/2008;7:00;1440;-2;E
5108A;TD2;25/01/2008;7:00;1440;-2,5;E
5108A;TD2;26/01/2008;7:00;1440;-0,7;E
5108A;TD2;27/01/2008;7:00;1440;0;E
5108A;TD2;28/01/2008;7:00;1440;0,5;E
5108A;TD2;29/01/2008;7:00;1440;0,5;E
5108A;TD2;30/01/2008;7:00;1440;0,8;E
5108A;TD2;31/01/2008;7:00;1440;0,9;E
5108A;TD2;01/02/2008;7:00;1440;0;E
5108A;TD2;02/02/2008;7:00;1440;-1;E
5108A;TD2;03/02/2008;7:00;1440;1,4;E
5108A;TD2;04/02/2008;7:00;1440;-0,1;E
5108A;TD2;05/02/2008;7:00;1440;0;E
5108A;TD2;06/02/2008;7:00;1440;0;E
5108A;TD2;07/02/2008;7:00;1440;0,6;E
5108A;TD2;08/02/2008;7:00;1440;0,7;E
5108A;TD2;09/02/2008;7:00;1440;-2,3;E
5108A;TD2;10/02/2008;7:00;1440;-2;E
5108A;TD2;11/02/2008;7:00;1440;-1,6;E
5108A;TD2;12/02/2008;7:00;1440;-1,7;E
5108A;TD2;13/02/2008;7:00;1440;1,5;E
5108A;TD2;14/02/2008;7:00;1440;0,9;E
5108A;TD2;15/02/2008;7:00;1440;0;E
5108A;TD2;16/02/2008;7:00;1440;0,1;E
5108A;TD2;17/02/2008;7:00;1440;2,6;E
5108A;TD2;18/02/2008;7:00;1440;2,6;E
5108A;TD2;19/02/2008;7:00;1440;2,4;E
5108A;TD2;20/02/2008;7:00;1440;2;E
5108A;TD2;21/02/2008;7:00;1440;1;E
5108A;TD2;22/02/2008;7:00;1440;3;E
5108A;TD2;23/02/2008;7:00;1440;4,7;E
5108A;TD2;24/02/2008;7:00;1440;4,6;E
5108A;TD2;25/02/2008;7:00;1440;3,5;E
5108A;TD2;26/02/2008;7:00;1440;3,5;E
5108A;TD2;27/02/2008;7:00;1440;4,2;E
5108A;TD2;28/02/2008;7:00;1440;2,5;E
5108A;TD2;29/02/2008;7:00;1440;2,6;E
5108A;TD2;01/03/2008;7:00;1440;4,7;E
5108A;TD2;02/03/2008;7:00;1440;5;E
5108A;TD2;03/03/2008;7:00;1440;6;E
