INDICATIVO;VARIABLE;FECHA;HORA;PERIODO;VALOR;VALIDACION
5044E;TD2;28/02/1974;7:00;1440;-3;E
5044E;TD2;01/03/1974;7:00;1440;-1;E
5044E;TD2;02/03/1974;7:00;1440;-1;E
5044E;TD2;03/03/1974;7:00;1440;-4;E
5044E;TD2;04/03/1974;7:00;1440;-6;E
5044E;TD2;05/03/1974;7:00;1440;-5;E
5044E;TD2;06/03/1974;7:00;1440;-5;E
5044E;TD2;07/03/1974;7:00;1440;-7;E
5044E;TD2;08/03/1974;7:00;1440;-2;E
5044E;TD2;09/03/1974;7:00;1440;1;E
5044E;TD2;10/03/1974;7:00;1440;1;E
5044E;TD2;11/03/1974;7:00;1440;1;E
5044E;TD2;12/03/1974;7:00;1440;-2;E
5044E;TD2;13/03/1974;7:00;1440;-3;E
5044E;TD2;14/03/1974;7:00;1440;-1;E
5044E;TD2;15/03/1974;7:00;1440;2;E
5044E;TD2;16/03/1974;7:00;1440;2;E
5044E;TD2;17/03/1974;7:00;1440;3;E
5044E;TD2;18/03/1974;7:00;1440;0;E
5044E;TD2;19/03/1974;7:00;1440;-1;E
5044E;TD2;20/03/1974;7:00;1440;-1;E
5044E;TD2;21/03/1974;7:00;1440;-3;E
5044E;TD2;22/03/1974;7:00;1440;-2;E
5044E;TD2;23/03/1974;7:00;1440;0;E
5044E;TD2;24/03/1974;7:00;1440;0;E
5044E;TD2;25/03/1974;7:00;1440;0;E
5044E;TD2;26/03/1974;7:00;1440;3;E
5044E;TD2;27/03/1974;7:00;1440;3;E
5044E;TD2;28/03/1974;7:00;1440;4;E
5044E;TD2;29/03/1974;7:00;1440;3;E
5044E;TD2;30/03/1974;7:00;1440;2;E
5044E;TD2;31/03/1974;7:00;1440;2;E
5044E;TD2;01/04/1974;7:00;1440;2;E
5044E;TD2;02/04/1974;7:00;1440;3;E
5044E;TD2;03/04/1974;7:00;1440;-1;E
5044E;TD2;04/04/1974;7:00;1440;1;E
5044E;TD2;05/04/1974;7:00;1440;2;E
5044E;TD2;06/04/1974;7:00;1440;2;E
5044E;TD2;07/04/1974;7:00;1440;3;E
5044E;TD2;08/04/1974;7:00;1440;2;E
5044E;TD2;09/04/1974;7:00;1440;5;E
5044E;TD2;10/04/1974;7:00;1440;3;E
5044E;TD2;11/04/1974;7:00;1440;1;E
5044E;TD2;12/04/1974;7:00;1440;-1;E
5044E;TD2;13/04/1974;7:00;1440;0;E
5044E;TD2;14/04/1974;7:00;1440;0;E
5044E;TD2;15/04/1974;7:00;1440;3;E
5044E;TD2;16/04/1974;7:00;1440;-1;E
5044E;TD2;17/04/1974;7:00;1440;-1;E
5044E;TD2;18/04/1974;7:00;1440;-1;E
5044E;TD2;19/04/1974;7:00;1440;2;E
5044E;TD2;20/04/1974;7:00;1440;2;E
5044E;TD2;21/04/1974;7:00;1440;1;E
5044E;TD2;22/04/1974;7:00;1440;-1;E
5044E;TD2;23/04/1974;7:00;1440;0;E
5044E;TD2;24/04/1974;7:00;1440;1;E
5044E;TD2;25/04/1974;7:00;1440;0;E
5044E;TD2;26/04/1974;7:00;1440;1;E
5044E;TD2;27/04/1974;7:00;1440;9;E
5044E;TD2;28/04/1974;7:00;1440;2;E
5044E;TD2;29/04/1974;7:00;1440;1;E
5044E;TD2;30/04/1974;7:00;1440;4;E
5044E;TD2;01/05/1974;7:00;1440;1;E
5044E;TD2;02/05/1974;7:00;1440;5;E
5044E;TD2;03/05/1974;7:00;1440;3;E
5044E;TD2;04/05/1974;7:00;1440;1;E
5044E;TD2;05/05/1974;7:00;1440;4;E
5044E;TD2;06/05/1974;7:00;1440;6;E
5044E;TD2;07/05/1974;7:00;1440;0;E
5044E;TD2;08/05/1974;7:00;1440;6;E
5044E;TD2;09/05/1974;7:00;1440;4;E
5044E;TD2;10/05/1974;7:00;1440;6;E
5044E;TD2;11/05/1974;7:00;1440;7;E
5044E;TD2;12/05/1974;7:00;1440;8;E
5044E;TD2;13/05/1974;7:00;1440;8;E
5044E;TD2;14/05/1974;7:00;1440;7;E
